model,layer,lat
asr,inner1,60.71099999999999
asr,sig1,215.8123
asr,inner2,269.8655
asr,sig2,215.82739999999998
asr,inner3,269.70009999999996
asr,sig3,215.7237
asr,inner4,271.1968
asr,sig4,215.95520000000002
asr,inner5,271.14759999999995
asr,sig5,215.70970000000003
asr,inner6,270.75910000000005
asr,sig6,215.68449999999999
asr,final_inner,226.25930000000002
imc,conv1,18.2746
imc,relu1,2.0404
imc,pool1,5.283
imc,norm1,23.7549
imc,conv2,33.8891
imc,relu2,1.3074999999999999
imc,pool2,3.2919999999999994
imc,norm2,29.9044
imc,conv3,20.6423
imc,relu3,0.4561
imc,conv4,16.9848
imc,relu4,0.4549
imc,conv5,12.4378
imc,relu5,0.30510000000000004
imc,pool5,1.5481
imc,fc6,122.5124
imc,relu6,0.030100000000000005
imc,drop6,0.0018000000000000002
imc,fc7,69.9524
imc,relu7,0.030300000000000004
imc,drop7,0.0013
imc,fc8,17.0351
imc,prob,0.2451
imc,argmax,0.024399999999999998
face,conv1,56.35
face,pool2,13.156600000000001
face,conv3,73.60910000000001
face,local4,401.0455
face,local5,51.88359999999999
face,local6,16.987299999999998
face,fc7,93.6146
face,fc8,1.3198
face,prob,0.036199999999999996
face,argmax,0.014400000000000001
dig,conv1,25.9055
dig,pool1,20.6863
dig,conv2,61.76950000000001
dig,pool2,24.8541
dig,ip1,5.6428
dig,relu1,0.35619999999999996
dig,ip2,0.42960000000000004
dig,prob,0.2771
dig,argmax,0.30000000000000004
dig-10,conv1,2.7314999999999996
dig-10,pool1,2.1007
dig-10,conv2,6.2798
dig-10,pool2,2.5199000000000003
dig-10,ip1,1.7904999999999998
dig-10,relu1,0.03679999999999999
dig-10,ip2,0.042499999999999996
dig-10,prob,0.036300000000000006
dig-10,argmax,0.03609999999999999
pos,fc1,0.7213
pos,htanh,0.08539999999999999
pos,fc3,0.2959
ner,fc1,0.7417999999999999
ner,htanh,0.07309999999999998
ner,fc3,0.08429999999999999
chk,fc1,0.744
chk,htanh,0.07639999999999998
chk,fc3,0.3054
vgg,conv1_1,21.232200000000002
vgg,relu1_1,22.5762
vgg,conv1_2,316.3387
vgg,relu1_2,22.5634
vgg,pool1,40.3709
vgg,conv2_1,133.22830000000002
vgg,relu2_1,11.287299999999998
vgg,conv2_2,263.80119999999994
vgg,relu2_2,11.291
vgg,pool2,20.315
vgg,conv3_1,120.03310000000002
vgg,relu3_1,5.649900000000001
vgg,conv3_2,237.83919999999998
vgg,relu3_2,5.650699999999999
vgg,conv3_3,238.73409999999998
vgg,relu3_3,5.646300000000001
vgg,conv3_4,239.34570000000002
vgg,relu3_4,5.652500000000001
vgg,pool3,12.419299999999998
vgg,conv4_1,114.9528
vgg,relu4_1,2.8232
vgg,conv4_2,226.5895
vgg,relu4_2,2.8234000000000004
vgg,conv4_3,227.80350000000004
vgg,relu4_3,2.8188999999999997
vgg,conv4_4,226.5985
vgg,relu4_4,2.8196000000000003
vgg,pool4,5.048
vgg,conv5_1,59.930400000000006
vgg,relu5_1,0.7038
vgg,conv5_2,59.8948
vgg,relu5_2,0.7051
vgg,conv5_3,59.830200000000005
vgg,relu5_3,0.7033999999999999
vgg,conv5_4,59.955999999999996
vgg,relu5_4,0.7061
vgg,pool5,2.9022999999999994
vgg,fc6,348.4223
vgg,relu6,0.031700000000000006
vgg,drop6,0.0013000000000000004
vgg,fc7,70.8093
vgg,relu7,0.030100000000000005
vgg,drop7,0.0013000000000000002
vgg,fc8,17.1997
vgg,prob,0.24329999999999993
vgg,argmax,0.024299999999999995
