model,layer,lat
asr,inner1,7.065299999999999
asr,sig1,36.271300000000004
asr,inner2,29.558100000000003
asr,sig2,36.390499999999996
asr,inner3,30.0265
asr,sig3,36.3104
asr,inner4,29.798000000000002
asr,sig4,36.316
asr,inner5,29.704299999999996
asr,sig5,36.321299999999994
asr,inner6,29.8328
asr,sig6,36.3284
asr,final_inner,25.323700000000002
imc,conv1,3.8924999999999996
imc,relu1,0.4631
imc,pool1,2.9869000000000003
imc,norm1,11.013799999999998
imc,conv2,7.8900999999999994
imc,relu2,0.23810000000000003
imc,pool2,1.4483
imc,norm2,27.139399999999995
imc,conv3,5.4796
imc,relu3,0.08369999999999997
imc,conv4,4.9457
imc,relu4,0.08979999999999998
imc,conv5,4.2049
imc,relu5,0.0553
imc,pool5,0.3141
imc,fc6,63.277100000000004
imc,relu6,0.007499999999999998
imc,drop6,0.0014000000000000002
imc,fc7,28.935200000000002
imc,relu7,0.007200000000000001
imc,drop7,0.0010000000000000002
imc,fc8,6.8381
imc,prob,0.0635
imc,argmax,0.0254
face,conv1,42.56529999999999
face,pool2,6.490599999999999
face,conv3,55.87910000000001
face,local4,186.09300000000002
face,local5,17.0412
face,local6,6.165699999999999
face,fc7,38.184400000000004
face,fc8,0.48650000000000004
face,prob,0.016999999999999998
face,argmax,0.008599999999999998
dig,conv1,7.3685
dig,pool1,9.491600000000002
dig,conv2,24.8511
dig,pool2,2.521
dig,ip1,1.1922000000000001
dig,relu1,0.0824
dig,ip2,0.12269999999999999
dig,prob,0.07649999999999998
dig,argmax,0.0529
dig-10,conv1,0.7223999999999999
dig-10,pool1,1.4474
dig-10,conv2,2.8863
dig-10,pool2,0.27390000000000003
dig-10,ip1,0.7072
dig-10,relu1,0.006500000000000001
dig-10,ip2,0.017100000000000004
dig-10,prob,0.009999999999999998
dig-10,argmax,0.0068000000000000005
pos,fc1,0.2663999999999999
pos,htanh,0.0509
pos,fc3,0.05389999999999999
ner,fc1,0.3161
ner,htanh,0.0409
ner,fc3,0.0251
chk,fc1,0.31930000000000003
chk,htanh,0.04309999999999999
chk,fc3,0.053700000000000005
vgg,conv1_1,5.4314
vgg,relu1_1,4.4838
vgg,conv1_2,97.6277
vgg,relu1_2,4.435899999999999
vgg,pool1,20.0747
vgg,conv2_1,26.457100000000004
vgg,relu2_1,2.525
vgg,conv2_2,52.127599999999994
vgg,relu2_2,2.5295
vgg,pool2,9.0117
vgg,conv3_1,17.773999999999997
vgg,relu3_1,1.3374000000000001
vgg,conv3_2,35.1109
vgg,relu3_2,1.3305
vgg,conv3_3,35.1144
vgg,relu3_3,1.3256
vgg,conv3_4,36.24900000000001
vgg,relu3_4,1.3585999999999998
vgg,pool3,4.886100000000001
vgg,conv4_1,14.6457
vgg,relu4_1,0.6715
vgg,conv4_2,26.9164
vgg,relu4_2,0.664
vgg,conv4_3,26.2911
vgg,relu4_3,0.6687
vgg,conv4_4,26.825899999999997
vgg,relu4_4,0.6646
vgg,pool4,1.9365999999999999
vgg,conv5_1,8.430699999999998
vgg,relu5_1,0.12910000000000005
vgg,conv5_2,8.2744
vgg,relu5_2,0.12910000000000005
vgg,conv5_3,8.319700000000001
vgg,relu5_3,0.1285
vgg,conv5_4,8.218499999999999
vgg,relu5_4,0.12910000000000005
vgg,pool5,0.5145000000000001
vgg,fc6,147.7743
vgg,relu6,0.007400000000000001
vgg,drop6,0.0015000000000000002
vgg,fc7,27.7103
vgg,relu7,0.008900000000000002
vgg,drop7,0.0012000000000000003
vgg,fc8,6.5331
vgg,prob,0.0642
vgg,argmax,0.040799999999999996
