,model,layer,flops,lat,gflops
0,asr,inner1,987627520,0.009569800000000002,103.20252460866473
1,asr,sig1,2244608,9.169999999999998e-05,24.477731733914943
2,asr,inner2,4596957184,0.046273,99.34426520865298
3,asr,sig2,2244608,6.440000000000001e-05,34.854161490683225
4,asr,inner3,4596957184,0.0468699,98.07909093042656
5,asr,sig3,2244608,5.4600000000000006e-05,41.11003663003663
6,asr,inner4,4596957184,0.046505200000000003,98.84824028280708
7,asr,sig4,2244608,5.049999999999999e-05,44.44768316831684
8,asr,inner5,4596957184,0.04796079999999999,95.84821737752499
9,asr,sig5,2244608,5.079999999999998e-05,44.185196850393716
10,asr,inner6,4596957184,0.0469774,97.8546531736537
11,asr,sig6,2244608,4.74e-05,47.35459915611814
12,asr,final_inner,3829301248,0.0393942,97.20469632585508
13,imc,conv1,210830400,0.00030030000000000004,702.065934065934
14,imc,relu1,290400,4.27e-05,6.8009367681498825
15,imc,pool1,699840,3.7199999999999996e-05,18.812903225806455
16,imc,norm1,419904,6.71e-05,6.257883755588674
17,imc,conv2,895795200,0.0002713,3301.8621452266866
18,imc,relu2,186624,3.41e-05,5.472844574780058
19,imc,pool2,432640,3.4e-05,12.724705882352941
20,imc,norm2,259584,6.459999999999998e-05,4.018328173374614
21,imc,conv3,299040768,0.0004572,654.0699212598425
22,imc,relu3,64896,3.420000000000002e-05,1.8975438596491219
23,imc,conv4,448561152,0.0009991,448.9652206986288
24,imc,relu4,64896,3.420000000000002e-05,1.8975438596491219
25,imc,conv5,299040768,0.0009431000000000001,317.0827780723147
26,imc,relu5,43264,3.92e-05,1.1036734693877552
27,imc,pool5,92160,3.799999999999999e-05,2.425263157894738
28,imc,fc6,75497472,0.06374710000000001,1.184327945898715
29,imc,relu6,4096,5.369999999999999e-05,0.0762756052141527
30,imc,drop6,4096,1.5000000000000002e-06,2.730666666666666
31,imc,fc7,33554432,0.0114054,2.941977659705052
32,imc,relu7,4096,4.6999999999999984e-05,0.08714893617021278
33,imc,drop7,4096,7e-07,5.851428571428571
34,imc,fc8,8192000,0.0028982,2.826582016423987
35,imc,prob,1000,4.7600000000000005e-05,0.021008403361344536
36,imc,argmax,1000,0.00019370000000000002,0.005162622612287042
37,face,conv1,468450048,0.000192,2439.844
38,face,pool2,1568000,3.86e-05,40.62176165803108
39,face,conv3,318836736,0.0001906,1672.8055403987407
40,face,local4,120932352,0.1080826,1.1188882576844006
