model,layer,lat
asr,inner1,0.5525
asr,sig1,0.015399999999999997
asr,inner2,2.2687999999999997
asr,sig2,0.0087
asr,inner3,2.2555000000000005
asr,sig3,0.008100000000000001
asr,inner4,2.2473
asr,sig4,0.008799999999999999
asr,inner5,2.2267
asr,sig5,0.009100000000000002
asr,inner6,2.2385
asr,sig6,0.0079
asr,final_inner,1.8535
imc,conv1,0.07809999999999999
imc,relu1,0.012099999999999998
imc,pool1,0.010599999999999998
imc,norm1,0.0177
imc,conv2,0.08589999999999999
imc,relu2,0.008100000000000001
imc,pool2,0.008500000000000002
imc,norm2,0.013599999999999998
imc,conv3,0.14350000000000002
imc,relu3,0.008300000000000002
imc,conv4,0.23170000000000002
imc,relu4,0.008400000000000001
imc,conv5,0.22480000000000003
imc,relu5,0.0098
imc,pool5,0.0075000000000000015
imc,fc6,3.8063000000000002
imc,relu6,0.0103
imc,drop6,0.0005
imc,fc7,0.47250000000000003
imc,relu7,0.008800000000000002
imc,drop7,0.0001
imc,fc8,0.1728
imc,prob,0.0088
imc,argmax,0.04389999999999999
face,conv1,0.0721
face,pool2,0.012699999999999998
face,conv3,0.0607
face,local4,10.2617
face,local5,3.0017000000000005
face,local6,2.1448000000000005
face,fc7,1.1332
face,fc8,0.1133
face,prob,0.011399999999999999
face,argmax,0.023299999999999994
dig,conv1,0.048499999999999995
dig,pool1,0.0096
dig,conv2,0.038299999999999994
dig,pool2,0.007700000000000001
dig,ip1,0.7789
dig,relu1,0.009899999999999997
dig,ip2,0.09099999999999998
dig,prob,0.008699999999999998
dig,argmax,0.08909999999999998
dig-10,conv1,0.04719999999999999
dig-10,pool1,0.0096
dig-10,conv2,0.037599999999999995
dig-10,pool2,0.009400000000000002
dig-10,ip1,0.2056
dig-10,relu1,0.008999999999999998
dig-10,ip2,0.0813
dig-10,prob,0.008600000000000002
dig-10,argmax,0.024299999999999995
pos,fc1,0.06700000000000002
pos,htanh,0.008000000000000002
pos,fc3,0.0601
ner,fc1,0.07429999999999999
ner,htanh,0.008100000000000001
ner,fc3,0.0593
chk,fc1,0.06799999999999999
chk,htanh,0.007800000000000001
chk,fc3,0.10830000000000002
vgg,conv1_1,0.08249999999999999
vgg,relu1_1,0.011599999999999996
vgg,conv1_2,0.04759999999999999
vgg,relu1_2,0.0087
vgg,pool1,0.010199999999999997
vgg,conv2_1,0.13609999999999997
vgg,relu2_1,0.008100000000000001
vgg,conv2_2,0.11910000000000001
vgg,relu2_2,0.0093
vgg,pool2,0.0075000000000000015
vgg,conv3_1,0.12390000000000001
vgg,relu3_1,0.008500000000000002
vgg,conv3_2,0.1257
vgg,relu3_2,0.0089
vgg,conv3_3,0.118
vgg,relu3_3,0.008000000000000002
vgg,conv3_4,0.1282
vgg,relu3_4,0.0089
vgg,pool3,0.0075000000000000015
vgg,conv4_1,0.1152
vgg,relu4_1,0.008100000000000001
vgg,conv4_2,0.13599999999999998
vgg,relu4_2,0.0079
vgg,conv4_3,0.1251
vgg,relu4_3,0.008100000000000001
vgg,conv4_4,0.12560000000000002
vgg,relu4_4,0.008000000000000002
vgg,pool4,0.0088
vgg,conv5_1,0.12269999999999999
vgg,relu5_1,0.011
vgg,conv5_2,0.12150000000000001
vgg,relu5_2,0.008000000000000002
vgg,conv5_3,0.12289999999999998
vgg,relu5_3,0.008799999999999999
vgg,conv5_4,0.1222
vgg,relu5_4,0.008100000000000001
vgg,pool5,0.0071
vgg,fc6,30.626800000000003
vgg,relu6,0.009399999999999999
vgg,drop6,0.0007
vgg,fc7,0.4821000000000001
vgg,relu7,0.008300000000000002
vgg,drop7,0.0002
vgg,fc8,0.1741
vgg,prob,0.0093
vgg,argmax,0.041499999999999995
