layer,input,output,add,mult,fp_ops
inner1,241120,1122304,493813760,493813760,987627520
sig1,1122304,1122304,1122304,1122304,2244608
inner2,1122304,1122304,2298478592,2298478592,4596957184
sig2,1122304,1122304,1122304,1122304,2244608
inner3,1122304,1122304,2298478592,2298478592,4596957184
sig3,1122304,1122304,1122304,1122304,2244608
inner4,1122304,1122304,2298478592,2298478592,4596957184
sig4,1122304,1122304,1122304,1122304,2244608
inner5,1122304,1122304,2298478592,2298478592,4596957184
sig5,1122304,1122304,1122304,1122304,2244608
inner6,1122304,1122304,2298478592,2298478592,4596957184
sig6,1122304,1122304,1122304,1122304,2244608
final_inner,1122304,934888,1914650624,1914650624,3829301248
