layer,input,output,add,mult,fp_ops
conv1,154587,290400,105415200,105415200,210830400
relu1,290400,290400,290400,0,290400
pool1,290400,69984,629856,69984,699840
norm1,69984,69984,349920,69984,419904
conv2,69984,186624,447897600,447897600,895795200
relu2,186624,186624,186624,0,186624
pool2,186624,43264,389376,43264,432640
norm2,43264,43264,216320,43264,259584
conv3,43264,64896,149520384,149520384,299040768
relu3,64896,64896,64896,0,64896
conv4,64896,64896,224280576,224280576,448561152
relu4,64896,64896,64896,0,64896
conv5,64896,43264,149520384,149520384,299040768
relu5,43264,43264,43264,0,43264
pool5,43264,9216,82944,9216,92160
fc6,9216,4096,37748736,37748736,75497472
relu6,4096,4096,4096,0,4096
drop6,4096,4096,4096,0,4096
fc7,4096,4096,16777216,16777216,33554432
relu7,4096,4096,4096,0,4096
drop7,4096,4096,4096,0,4096
fc8,4096,1000,4096000,4096000,8192000
prob,1000,1000,1000,0,1000
argmax,1000,1,1000,0,1000
