layer,input,output,add,mult,fp_ops
conv1_1,150528,3211264,86704128,86704128,173408256
relu1_1,3211264,3211264,3211264,0,3211264
conv1_2,3211264,3211264,1849688064,1849688064,3699376128
relu1_2,3211264,3211264,3211264,0,3211264
pool1,3211264,802816,3211264,802816,4014080
conv2_1,802816,1605632,924844032,924844032,1849688064
relu2_1,1605632,1605632,1605632,0,1605632
conv2_2,1605632,1605632,1849688064,1849688064,3699376128
relu2_2,1605632,1605632,0,0,0
pool2,1605632,401408,1605632,401408,2007040
conv3_1,401408,802816,924844032,924844032,1849688064
relu3_1,802816,802816,802816,0,802816
conv3_2,802816,802816,1849688064,1849688064,3699376128
relu3_2,802816,802816,802816,0,802816
conv3_3,802816,802816,1849688064,1849688064,3699376128
relu3_3,802816,802816,802816,0,802816
conv3_4,802816,802816,1849688064,1849688064,3699376128
relu3_4,802816,802816,802816,0,802816
pool3,802816,200704,802816,200704,1003520
conv4_1,200704,401408,924844032,924844032,1849688064
relu4_1,401408,401408,401408,0,401408
conv4_2,401408,401408,1849688064,1849688064,3699376128
relu4_2,401408,401408,401408,0,401408
conv4_3,401408,401408,1849688064,1849688064,3699376128
relu4_3,401408,401408,401408,0,401408
conv4_4,401408,401408,1849688064,1849688064,3699376128
relu4_4,401408,401408,401408,0,401408
pool4,401408,100352,401408,100352,501760
conv5_1,100352,100352,462422016,462422016,924844032
relu5_1,100352,100352,100352,0,100352
conv5_2,100352,100352,462422016,462422016,924844032
relu5_2,100352,100352,100352,0,100352
conv5_3,100352,100352,462422016,462422016,924844032
relu5_3,100352,100352,100352,0,100352
conv5_4,100352,100352,462422016,462422016,924844032
relu5_4,100352,100352,100352,0,100352
pool5,100352,25088,100352,25088,125440
fc6,25088,4096,102760448,102760448,205520896
relu6,4096,4096,4096,0,4096
drop6,4096,4096,4096,0,4096
fc7,4096,4096,16777216,16777216,33554432
relu7,4096,4096,4096,0,4096
drop7,4096,4096,4096,0,4096
fc8,4096,1000,4096000,4096000,8192000
prob,1000,1000,1000,1000,2000
argmax,1000,1,1000,0,1000
