layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
conv,1,256,27,27,384,3,1,25.0,1105920000.0,11.7560,94.07281388227287
conv,1,96,55,55,128,5,2,26.0,415334400.0,4.8270,86.04400248601615
conv,1,96,55,55,256,5,1,51.0,3196108800.0,29.1830,109.51954219922557
conv,1,96,55,55,64,5,4,13.5,55987200.0,2.6080,21.467484662576688
conv,1,384,13,13,256,3,1,11.0,214106112.0,2.2780,93.98863564530289
conv,1,1,28,28,20,7,1,22.0,948640.0,0.1720,5.515348837209303
conv,1,1,22,22,50,5,1,18.0,810000.0,0.1690,4.792899408284024
conv,1,3,152,152,48,9,1,144.0,483729408.0,7.9510,60.8388137341215
conv,1,256,13,13,256,3,1,11.0,142737408.0,1.6260,87.78438376383765
conv,1,3,227,227,256,11,2,109.0,2208155136.0,24.4380,90.35744070709552
conv,1,3,227,227,96,11,4,55.0,210830400.0,3.5450,59.47260930888576
conv,1,3,227,227,48,11,1,217.0,1640957472.0,24.9200,65.84901573033707
conv,1,64,71,71,32,5,2,34.0,118374400.0,3.0320,39.041688654353564
conv,1,32,64,64,16,9,2,28.5,67371264.0,2.3650,28.48679238900634
conv,1,3,152,152,32,11,1,142.0,468450048.0,5.7630,81.28579698073919
