layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
conv,1,96,55,55,128,5,2,26.0,415334400.0,4.8130,86.29428630791607
conv,1,96,55,55,256,5,1,51.0,3196108800.0,29.1590,109.60968483144143
conv,1,96,55,55,64,5,4,13.5,55987200.0,2.6130,21.426406429391506
conv,1,384,13,13,256,3,1,11.0,214106112.0,2.2960,93.25179094076655
conv,1,1,28,28,20,7,1,22.0,948640.0,0.1790,5.299664804469274
conv,1,1,22,22,50,5,1,18.0,810000.0,0.1700,4.76470588235294
conv,1,3,152,152,48,9,1,144.0,483729408.0,7.9810,60.61012504698659
conv,1,256,13,13,256,3,1,11.0,142737408.0,1.6410,86.98196709323582
conv,1,3,227,227,256,11,2,109.0,2208155136.0,28.5110,77.44923489179615
conv,1,3,227,227,96,11,4,55.0,210830400.0,3.5280,59.759183673469394
conv,1,3,227,227,48,11,1,217.0,1640957472.0,24.9360,65.80676419634264
conv,1,64,71,71,32,5,2,34.0,118374400.0,3.0800,38.43324675324675
conv,1,32,64,64,16,9,2,28.5,67371264.0,2.3840,28.259758389261744
conv,1,3,152,152,32,11,1,142.0,468450048.0,5.7670,81.22941702791745
