layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,640,1,1,64,40960,0.3730,0.10981233243967828
fc,1,640,1,1,128,81920,0.4340,0.18875576036866362
fc,1,640,1,1,196,125440,0.5490,0.22848816029143898
fc,1,640,1,1,256,163840,0.4690,0.3493390191897655
fc,1,640,1,1,320,204800,0.5000,0.4096
fc,1,640,1,1,384,245760,0.6260,0.3925878594249201
fc,1,640,1,1,512,327680,0.6420,0.510404984423676
fc,1,640,1,1,768,491520,0.8190,0.6001465201465201
fc,1,640,1,1,1024,655360,1.0040,0.6527490039840639
fc,1,640,1,1,1536,983040,1.2220,0.8044517184942717
fc,1,640,1,1,2048,1310720,1.6350,0.8016636085626913
fc,1,640,1,1,2560,1638400,1.8180,0.9012101210121012
fc,1,640,1,1,3072,1966080,2.2050,0.8916462585034014
fc,1,640,1,1,3200,2048000,2.2450,0.912249443207127
fc,1,640,1,1,4096,2621440,2.7540,0.9518663761801016
fc,1,384,1,1,64,24576,0.3320,0.07402409638554217
fc,1,384,1,1,128,49152,0.3790,0.129688654353562
fc,1,384,1,1,196,75264,0.4430,0.1698961625282167
fc,1,384,1,1,256,98304,0.4770,0.2060880503144654
fc,1,384,1,1,320,122880,0.5380,0.22840148698884755
fc,1,384,1,1,384,147456,0.5380,0.27408178438661707
fc,1,384,1,1,512,196608,0.5190,0.3788208092485549
fc,1,384,1,1,768,294912,0.6240,0.47261538461538466
fc,1,384,1,1,1024,393216,0.7010,0.5609358059914409
fc,1,384,1,1,1536,589824,0.9010,0.6546326304106548
fc,1,384,1,1,2048,786432,1.1030,0.7129936536718042
fc,1,384,1,1,2560,983040,1.2740,0.7716169544740974
fc,1,384,1,1,3072,1179648,1.4850,0.7943757575757576
fc,1,384,1,1,3200,1228800,1.5110,0.8132362673726009
fc,1,384,1,1,4096,1572864,1.8520,0.8492786177105831
fc,1,2000,1,1,64,128000,0.4310,0.29698375870069604
fc,1,2000,1,1,128,256000,0.4690,0.5458422174840085
fc,1,2000,1,1,196,392000,0.5740,0.6829268292682926
fc,1,2000,1,1,256,512000,0.6320,0.810126582278481
fc,1,2000,1,1,320,640000,0.7890,0.8111533586818759
fc,1,2000,1,1,384,768000,0.6910,1.1114327062228653
fc,1,2000,1,1,512,1024000,0.7930,1.2912988650693566
fc,1,2000,1,1,768,1536000,1.0300,1.49126213592233
fc,1,2000,1,1,1024,2048000,1.2610,1.6241078509119746
fc,1,2000,1,1,1536,3072000,1.6930,1.8145304193738925
fc,1,2000,1,1,2048,4096000,2.1200,1.9320754716981132
fc,1,2000,1,1,2560,5120000,2.5980,1.970746728252502
fc,1,2000,1,1,3072,6144000,4.4000,1.3963636363636363
fc,1,2000,1,1,3200,6400000,3.1440,2.035623409669211
fc,1,2000,1,1,4096,8192000,3.9190,2.09032916560347
fc,1,576,1,1,64,36864,0.3700,0.09963243243243243
fc,1,576,1,1,128,73728,0.4330,0.17027251732101617
fc,1,576,1,1,196,112896,0.5720,0.1973706293706294
fc,1,576,1,1,256,147456,0.4560,0.3233684210526316
fc,1,576,1,1,320,184320,0.4840,0.3808264462809917
fc,1,576,1,1,384,221184,0.5940,0.3723636363636364
fc,1,576,1,1,512,294912,0.6150,0.4795317073170732
fc,1,576,1,1,768,442368,0.7840,0.5642448979591835
fc,1,576,1,1,1024,589824,0.9340,0.6315032119914347
fc,1,576,1,1,1536,884736,1.1370,0.7781319261213719
fc,1,576,1,1,2048,1179648,1.4530,0.8118706125258086
fc,1,576,1,1,2560,1474560,1.7300,0.8523468208092486
fc,1,576,1,1,3072,1769472,1.9720,0.8972981744421907
fc,1,576,1,1,3200,1843200,2.0690,0.8908651522474625
fc,1,576,1,1,4096,2359296,2.5100,0.9399585657370519
fc,1,4000,1,1,64,256000,0.5260,0.4866920152091255
fc,1,4000,1,1,128,512000,0.6590,0.7769347496206371
fc,1,4000,1,1,196,784000,0.8350,0.9389221556886228
fc,1,4000,1,1,256,1024000,0.9790,1.0459652706843716
fc,1,4000,1,1,320,1280000,1.0990,1.164695177434031
fc,1,4000,1,1,384,1536000,1.2540,1.2248803827751198
fc,1,4000,1,1,512,2048000,1.5910,1.2872407291011942
fc,1,4000,1,1,768,3072000,2.1420,1.4341736694677873
fc,1,4000,1,1,1024,4096000,2.7920,1.4670487106017194
fc,1,4000,1,1,1536,6144000,3.9780,1.5444947209653088
fc,1,4000,1,1,2048,8192000,5.2030,1.5744762636940226
fc,1,4000,1,1,2560,10240000,6.8630,1.4920588663849628
fc,1,4000,1,1,3072,12288000,8.2380,1.491624180626366
fc,1,4000,1,1,3200,12800000,8.4800,1.509433962264151
fc,1,4000,1,1,4096,16384000,13.0880,1.251833740831296
fc,1,3000,1,1,64,192000,0.4440,0.4324324324324324
fc,1,3000,1,1,128,384000,0.6280,0.6114649681528662
fc,1,3000,1,1,196,588000,0.6680,0.8802395209580838
fc,1,3000,1,1,256,768000,0.6660,1.1531531531531531
fc,1,3000,1,1,320,960000,0.9240,1.0389610389610389
fc,1,3000,1,1,384,1152000,0.9160,1.25764192139738
fc,1,3000,1,1,512,1536000,1.1560,1.3287197231833912
fc,1,3000,1,1,768,2304000,1.5010,1.5349766822118587
fc,1,3000,1,1,1024,3072000,2.3120,1.3287197231833912
fc,1,3000,1,1,1536,4608000,2.6950,1.7098330241187385
fc,1,3000,1,1,2048,6144000,3.4110,1.801231310466139
fc,1,3000,1,1,2560,7680000,4.1780,1.8382000957395883
fc,1,3000,1,1,3072,9216000,5.4390,1.6944291230005515
fc,1,3000,1,1,3200,9600000,5.7230,1.6774419011008213
fc,1,3000,1,1,4096,12288000,8.7470,1.4048245112610038
fc,1,768,1,1,64,49152,0.4030,0.12196526054590569
fc,1,768,1,1,128,98304,0.4860,0.20227160493827162
fc,1,768,1,1,196,150528,0.5480,0.27468613138686127
fc,1,768,1,1,256,196608,0.5440,0.3614117647058824
fc,1,768,1,1,320,245760,0.5400,0.4551111111111111
fc,1,768,1,1,384,294912,0.6910,0.4267901591895803
fc,1,768,1,1,512,393216,0.7070,0.5561753889674682
fc,1,768,1,1,768,589824,0.9390,0.6281405750798722
fc,1,768,1,1,1024,786432,1.1920,0.659758389261745
fc,1,768,1,1,1536,1179648,1.4180,0.8319097320169252
fc,1,768,1,1,2048,1572864,1.8620,0.8447175080558539
fc,1,768,1,1,2560,1966080,2.1720,0.9051933701657457
fc,1,768,1,1,3072,2359296,2.5290,0.9328967971530249
fc,1,768,1,1,3200,2457600,2.5820,0.9518202943454688
fc,1,768,1,1,4096,3145728,3.2090,0.9802829541913368
fc,1,512,1,1,64,32768,0.3940,0.08316751269035531
fc,1,512,1,1,128,65536,0.4110,0.1594549878345499
fc,1,512,1,1,196,100352,0.4970,0.20191549295774644
fc,1,512,1,1,256,131072,0.4710,0.27828450106157115
fc,1,512,1,1,320,163840,0.4610,0.3554013015184382
fc,1,512,1,1,384,196608,0.6040,0.32550993377483445
fc,1,512,1,1,512,262144,0.5780,0.4535363321799308
fc,1,512,1,1,768,393216,0.7680,0.512
fc,1,512,1,1,1024,524288,0.8540,0.61392037470726
fc,1,512,1,1,1536,786432,1.0680,0.7363595505617976
fc,1,512,1,1,2048,1048576,1.2980,0.8078397534668721
fc,1,512,1,1,2560,1310720,1.5520,0.8445360824742268
fc,1,512,1,1,3072,1572864,1.8360,0.8566797385620915
fc,1,512,1,1,3200,1638400,1.8850,0.8691777188328912
