layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,640,1,1,64,40960,0.3730,0.10981233243967828
fc,1,640,1,1,128,81920,0.4390,0.18660592255125283
fc,1,640,1,1,196,125440,0.5520,0.22724637681159415
fc,1,640,1,1,256,163840,0.4670,0.35083511777301923
fc,1,640,1,1,320,204800,0.4930,0.41541582150101425
fc,1,640,1,1,384,245760,0.6230,0.39447833065810595
fc,1,640,1,1,512,327680,0.6440,0.5088198757763974
fc,1,640,1,1,768,491520,0.8240,0.596504854368932
fc,1,640,1,1,1024,655360,1.0030,0.6533998005982055
fc,1,640,1,1,1536,983040,1.2370,0.7946968472109943
fc,1,640,1,1,2048,1310720,1.5800,0.8295696202531645
fc,1,640,1,1,2560,1638400,1.8190,0.9007146783947224
fc,1,640,1,1,3072,1966080,2.2060,0.8912420670897552
fc,1,640,1,1,3200,2048000,2.1990,0.9313324238290133
fc,1,640,1,1,4096,2621440,2.7630,0.948765834238147
fc,1,384,1,1,64,24576,0.3300,0.07447272727272726
fc,1,384,1,1,128,49152,0.3850,0.12766753246753246
fc,1,384,1,1,196,75264,0.4400,0.17105454545454543
fc,1,384,1,1,256,98304,0.4740,0.20739240506329115
fc,1,384,1,1,320,122880,0.5330,0.23054409005628515
fc,1,384,1,1,384,147456,0.4850,0.3040329896907217
fc,1,384,1,1,512,196608,0.5130,0.38325146198830407
fc,1,384,1,1,768,294912,0.6090,0.48425615763546803
fc,1,384,1,1,1024,393216,0.7220,0.5446204986149584
fc,1,384,1,1,1536,589824,0.8730,0.6756288659793814
fc,1,384,1,1,2048,786432,1.0770,0.7302061281337047
fc,1,384,1,1,2560,983040,1.2360,0.7953398058252428
fc,1,384,1,1,3072,1179648,1.4410,0.8186315058986815
fc,1,384,1,1,3200,1228800,1.4660,0.8381991814461118
fc,1,384,1,1,4096,1572864,1.8100,0.8689856353591161
fc,1,576,1,1,64,36864,0.3470,0.1062363112391931
fc,1,576,1,1,128,73728,0.3640,0.20254945054945056
fc,1,576,1,1,196,112896,0.5270,0.21422390891840606
fc,1,576,1,1,256,147456,0.4560,0.3233684210526316
fc,1,576,1,1,320,184320,0.4800,0.38400000000000006
fc,1,576,1,1,384,221184,0.5880,0.3761632653061225
fc,1,576,1,1,512,294912,0.6200,0.47566451612903227
fc,1,576,1,1,768,442368,0.7670,0.5767509778357236
fc,1,576,1,1,1024,589824,0.9330,0.6321800643086816
fc,1,576,1,1,1536,884736,1.1320,0.7815689045936396
fc,1,576,1,1,2048,1179648,1.4710,0.80193609789259
fc,1,576,1,1,2560,1474560,1.6810,0.8771921475312314
fc,1,576,1,1,3072,1769472,1.9770,0.8950288315629742
fc,1,576,1,1,3200,1843200,2.0250,0.9102222222222224
fc,1,576,1,1,4096,2359296,2.4920,0.9467479935794543
fc,1,768,1,1,64,49152,0.3930,0.12506870229007633
fc,1,768,1,1,128,98304,0.4770,0.2060880503144654
fc,1,768,1,1,196,150528,0.5130,0.2934269005847953
fc,1,768,1,1,256,196608,0.5090,0.3862632612966601
fc,1,768,1,1,320,245760,0.5350,0.4593644859813084
fc,1,768,1,1,384,294912,0.6880,0.42865116279069776
fc,1,768,1,1,512,393216,0.7170,0.548418410041841
fc,1,768,1,1,768,589824,0.9170,0.6432104689203925
fc,1,768,1,1,1024,786432,1.1370,0.6916728232189974
fc,1,768,1,1,1536,1179648,1.4640,0.8057704918032786
fc,1,768,1,1,2048,1572864,1.8190,0.8646860912589336
fc,1,768,1,1,2560,1966080,2.0730,0.9484225759768453
fc,1,768,1,1,3072,2359296,2.5410,0.928491145218418
fc,1,768,1,1,3200,2457600,2.5810,0.9521890740023247
fc,1,768,1,1,4096,3145728,3.2050,0.9815063962558502
fc,1,512,1,1,64,32768,0.3560,0.09204494382022471
fc,1,512,1,1,128,65536,0.4270,0.153480093676815
fc,1,512,1,1,196,100352,0.4210,0.2383657957244656
fc,1,512,1,1,256,131072,0.4480,0.2925714285714286
fc,1,512,1,1,320,163840,0.4630,0.353866090712743
fc,1,512,1,1,384,196608,0.5590,0.3517137745974955
fc,1,512,1,1,512,262144,0.5760,0.4551111111111112
fc,1,512,1,1,768,393216,0.7150,0.5499524475524475
fc,1,512,1,1,1024,524288,0.8560,0.6124859813084113
fc,1,512,1,1,1536,786432,1.1100,0.7084972972972973
fc,1,512,1,1,2048,1048576,1.3030,0.8047398311588643
fc,1,512,1,1,2560,1310720,1.5750,0.8322031746031746
fc,1,512,1,1,3072,1572864,1.8240,0.8623157894736841
fc,1,512,1,1,3200,1638400,1.8720,0.8752136752136751
fc,1,512,1,1,4096,2097152,2.3020,0.91101303214596
fc,1,446,1,1,64,28544,0.3450,0.08273623188405797
fc,1,446,1,1,128,57088,0.4020,0.1420099502487562
fc,1,446,1,1,196,87416,0.4780,0.18287866108786613
fc,1,446,1,1,256,114176,0.5360,0.21301492537313432
fc,1,446,1,1,320,142720,0.4480,0.3185714285714286
fc,1,446,1,1,384,171264,0.5210,0.328721689059501
fc,1,446,1,1,512,228352,0.5530,0.41293309222423147
fc,1,446,1,1,768,342528,0.6710,0.5104739195230998
fc,1,446,1,1,1024,456704,0.7910,0.5773754740834386
fc,1,446,1,1,1536,685056,0.9810,0.6983241590214068
fc,1,446,1,1,2048,913408,1.1990,0.7618081734778982
fc,1,446,1,1,2560,1141760,1.3970,0.817294201861131
fc,1,446,1,1,3072,1370112,1.6320,0.8395294117647059
fc,1,446,1,1,3200,1427200,1.7280,0.825925925925926
fc,1,446,1,1,4096,1826816,2.0480,0.892
fc,1,1000,1,1,64,64000,0.4210,0.15201900237529692
fc,1,1000,1,1,128,128000,0.5510,0.2323049001814882
fc,1,1000,1,1,196,196000,0.5670,0.34567901234567905
fc,1,1000,1,1,256,256000,0.5680,0.4507042253521127
fc,1,1000,1,1,320,320000,0.6300,0.5079365079365079
fc,1,1000,1,1,384,384000,0.8070,0.4758364312267658
fc,1,1000,1,1,512,512000,0.8330,0.6146458583433373
fc,1,1000,1,1,768,768000,1.1090,0.6925157799819658
fc,1,1000,1,1,1024,1024000,1.3990,0.731951393852752
fc,1,1000,1,1,1536,1536000,1.7600,0.8727272727272728
fc,1,1000,1,1,2048,2048000,2.2750,0.9002197802197802
fc,1,1000,1,1,2560,2560000,2.7480,0.9315866084425037
fc,1,1000,1,1,3072,3072000,3.1880,0.9636135508155582
fc,1,1000,1,1,3200,3200000,3.2770,0.9765028989929815
fc,1,1000,1,1,4096,4096000,4.1110,0.9963512527365604
fc,1,64,1,1,64,4096,0.3110,0.013170418006430868
fc,1,64,1,1,128,8192,0.3530,0.02320679886685553
fc,1,64,1,1,196,12544,0.3120,0.040205128205128206
fc,1,64,1,1,256,16384,0.3230,0.05072445820433436
fc,1,64,1,1,320,20480,0.3170,0.06460567823343849
fc,1,64,1,1,384,24576,0.3340,0.07358083832335328
fc,1,64,1,1,512,32768,0.3490,0.09389111747851003
fc,1,64,1,1,768,49152,0.3750,0.131072
fc,1,64,1,1,1024,65536,0.4090,0.1602347188264059
fc,1,64,1,1,1536,98304,0.4730,0.207830866807611
fc,1,64,1,1,2048,131072,0.4560,0.28743859649122805
fc,1,64,1,1,2560,163840,0.5290,0.3097164461247637
fc,1,64,1,1,3072,196608,0.5300,0.3709584905660378
fc,1,64,1,1,3200,204800,0.5420,0.37785977859778597
fc,1,64,1,1,4096,262144,0.6050,0.433295867768595
