layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,512,14,14,3,3,1,12.0,3981312.0,4.4410,0.8964899797342942
local,1,512,14,14,3,3,2,6.5,1168128.0,2.4090,0.48490161892901623
local,1,512,14,14,3,3,4,3.75,388800.0,1.6990,0.22884049440847556
local,1,512,14,14,3,5,1,10.0,7680000.0,7.5820,1.012925349512002
local,1,512,14,14,3,5,2,5.5,2323200.0,3.5240,0.6592508513053348
local,1,512,14,14,3,5,4,3.25,811200.0,3.0520,0.2657929226736566
local,1,512,14,14,3,7,1,8.0,9633792.0,9.2920,1.036783469651313
local,1,512,14,14,3,7,2,4.5,3048192.0,4.2600,0.7155380281690141
local,1,512,14,14,3,7,4,2.75,1138368.0,3.5440,0.32120993227990974
local,1,512,14,14,3,9,1,6.0,8957952.0,9.4650,0.9464291600633914
local,1,512,14,14,3,9,2,3.5,3048192.0,5.2200,0.5839448275862069
local,1,512,14,14,3,9,4,2.25,1259712.0,4.9470,0.25464160097028504
local,1,512,14,14,16,3,1,12.0,21233664.0,19.2940,1.1005319788535295
local,1,512,14,14,16,3,2,6.5,6230016.0,6.1830,1.007604075691412
local,1,512,14,14,16,3,4,3.75,2073600.0,4.4360,0.46744815148782687
local,1,512,14,14,16,5,1,10.0,40960000.0,30.9070,1.3252661209434755
local,1,512,14,14,16,5,2,5.5,12390400.0,11.3500,1.0916651982378855
local,1,512,14,14,16,5,4,3.25,4326400.0,8.2210,0.5262620119206909
local,1,512,14,14,16,7,1,8.0,51380224.0,43.5010,1.1811274223581067
local,1,512,14,14,16,7,2,4.5,16257024.0,15.7720,1.0307522191224956
local,1,512,14,14,16,7,4,2.75,6071296.0,11.0180,0.5510343074968235
local,1,512,14,14,16,9,1,6.0,47775744.0,38.3580,1.2455222900046927
local,1,512,14,14,16,9,2,3.5,16257024.0,19.7600,0.822723886639676
local,1,512,14,14,16,9,4,2.25,6718464.0,16.7580,0.4009108485499463
local,1,512,14,14,24,3,1,12.0,31850496.0,25.7420,1.237296868930153
local,1,512,14,14,24,3,2,6.5,9345024.0,8.9000,1.0500026966292135
local,1,512,14,14,24,3,4,3.75,3110400.0,5.7900,0.5372020725388601
local,1,512,14,14,24,5,1,10.0,61440000.0,43.8700,1.4005014816503305
local,1,512,14,14,24,5,2,5.5,18585600.0,16.7260,1.1111801984933638
local,1,512,14,14,24,5,4,3.25,6489600.0,11.4390,0.5673223183844741
local,1,512,14,14,24,7,1,8.0,77070336.0,54.4460,1.4155371560812546
local,1,512,14,14,24,7,2,4.5,24385536.0,22.6170,1.0781949860724231
local,1,512,14,14,24,7,4,2.75,9106944.0,16.2650,0.5599104826314171
local,1,512,14,14,24,9,1,6.0,71663616.0,55.8440,1.2832822863691713
local,1,512,14,14,24,9,2,3.5,24385536.0,28.7740,0.847485090706888
local,1,512,14,14,24,9,4,2.25,10077696.0,24.3800,0.4133591468416735
local,1,512,14,14,32,3,1,12.0,42467328.0,30.9080,1.3739914585220654
local,1,512,14,14,32,3,2,6.5,12460032.0,11.5730,1.0766466776116823
local,1,512,14,14,32,3,4,3.75,4147200.0,7.1730,0.578168130489335
local,1,512,14,14,32,5,1,10.0,81920000.0,57.6910,1.419978852853998
local,1,512,14,14,32,5,2,5.5,24780800.0,21.1950,1.1691814107100733
local,1,512,14,14,32,5,4,3.25,8652800.0,14.6580,0.590312457361168
local,1,512,14,14,32,7,1,8.0,102760448.0,71.6470,1.4342603039903972
local,1,512,14,14,32,7,2,4.5,32514048.0,29.7780,1.0918815232722143
local,1,512,14,14,32,7,4,2.75,12142592.0,20.8860,0.5813747007564876
