layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,512,14,14,3,3,1,12.0,3981312.0,4.4850,0.887694983277592
local,1,512,14,14,3,3,2,6.5,1168128.0,2.4720,0.47254368932038837
local,1,512,14,14,3,3,4,3.75,388800.0,1.6360,0.23765281173594135
local,1,512,14,14,3,5,1,10.0,7680000.0,9.4500,0.8126984126984127
local,1,512,14,14,3,5,2,5.5,2323200.0,3.5250,0.6590638297872341
local,1,512,14,14,3,5,4,3.25,811200.0,2.8150,0.2881705150976909
local,1,512,14,14,3,7,1,8.0,9633792.0,9.2430,1.0422797792924376
local,1,512,14,14,3,7,2,4.5,3048192.0,4.2990,0.709046755059316
local,1,512,14,14,3,7,4,2.75,1138368.0,3.5100,0.32432136752136753
local,1,512,14,14,3,9,1,6.0,8957952.0,9.3990,0.9530750079795725
local,1,512,14,14,3,9,2,3.5,3048192.0,5.8010,0.5254597483192553
local,1,512,14,14,3,9,4,2.25,1259712.0,5.0750,0.2482191133004926
local,1,512,14,14,16,3,1,12.0,21233664.0,16.2500,1.3066870153846155
local,1,512,14,14,16,3,2,6.5,6230016.0,6.3570,0.9800245398773006
local,1,512,14,14,16,3,4,3.75,2073600.0,4.2370,0.48940287939579885
local,1,512,14,14,16,5,1,10.0,40960000.0,29.8350,1.372884196413608
local,1,512,14,14,16,5,2,5.5,12390400.0,13.2880,0.9324503311258279
local,1,512,14,14,16,5,4,3.25,4326400.0,8.2370,0.5252397717615637
local,1,512,14,14,16,7,1,8.0,51380224.0,44.2140,1.162080427014068
local,1,512,14,14,16,7,2,4.5,16257024.0,15.6870,1.0363373493975905
local,1,512,14,14,16,7,4,2.75,6071296.0,11.2060,0.5417897554881314
local,1,512,14,14,16,9,1,6.0,47775744.0,37.9460,1.2590455911031466
local,1,512,14,14,16,9,2,3.5,16257024.0,19.4730,0.8348494839007858
local,1,512,14,14,16,9,4,2.25,6718464.0,17.0780,0.3933987586368427
local,1,512,14,14,24,3,1,12.0,31850496.0,27.5470,1.1562237630231966
local,1,512,14,14,24,3,2,6.5,9345024.0,9.2350,1.011913806172171
local,1,512,14,14,24,3,4,3.75,3110400.0,10.7470,0.2894203033404671
local,1,512,14,14,24,5,1,10.0,61440000.0,43.6680,1.406979939543831
local,1,512,14,14,24,5,2,5.5,18585600.0,16.3910,1.133890549691904
local,1,512,14,14,24,5,4,3.25,6489600.0,11.5560,0.5615784008307374
local,1,512,14,14,24,7,1,8.0,77070336.0,54.2440,1.42080849494875
local,1,512,14,14,24,7,2,4.5,24385536.0,22.7400,1.072363060686016
local,1,512,14,14,24,7,4,2.75,9106944.0,16.1620,0.5634787773790373
local,1,512,14,14,24,9,1,6.0,71663616.0,55.7370,1.2857458420797674
local,1,512,14,14,24,9,2,3.5,24385536.0,28.8640,0.8448425720620842
local,1,512,14,14,24,9,4,2.25,10077696.0,24.4540,0.41210828494315854
local,1,512,14,14,32,3,1,12.0,42467328.0,30.4850,1.3930565195998033
local,1,512,14,14,32,3,2,6.5,12460032.0,11.6440,1.0700817588457574
local,1,512,14,14,32,3,4,3.75,4147200.0,7.3090,0.5674100424134628
local,1,512,14,14,32,5,1,10.0,81920000.0,57.6550,1.420865493018819
local,1,512,14,14,32,5,2,5.5,24780800.0,21.3870,1.1586851825875533
local,1,512,14,14,32,5,4,3.25,8652800.0,14.7190,0.5878660235070318
local,1,512,14,14,32,7,1,8.0,102760448.0,72.1380,1.424498156311514
local,1,512,14,14,32,7,2,4.5,32514048.0,30.0330,1.082610728198981
local,1,512,14,14,32,7,4,2.75,12142592.0,20.9130,0.5806241094056328
local,1,512,14,14,32,9,1,6.0,95551488.0,72.7190,1.313982425500901
local,1,512,14,14,32,9,2,3.5,32514048.0,37.1560,0.8750685757347401
local,1,512,14,14,32,9,4,2.25,13436928.0,31.9660,0.42035062253644495
local,1,512,14,14,48,3,1,12.0,63700992.0,45.1750,1.4100939014941893
local,1,512,14,14,48,3,2,6.5,18690048.0,16.7630,1.1149584203304899
local,1,512,14,14,48,3,4,3.75,6220800.0,11.0000,0.5655272727272728
local,1,512,14,14,48,5,1,10.0,122880000.0,84.8220,1.4486807667822026
local,1,512,14,14,48,5,2,5.5,37171200.0,31.3710,1.1848905039686337
local,1,512,14,14,48,5,4,3.25,12979200.0,21.5600,0.6020037105751391
local,1,512,14,14,48,7,1,8.0,154140672.0,111.8600,1.3779784730913642
local,1,512,14,14,48,7,2,4.5,48771072.0,43.8780,1.1115153835635172
local,1,512,14,14,48,7,4,2.75,18213888.0,30.2560,0.6019925965097831
local,1,512,14,14,48,9,1,6.0,143327232.0,108.6040,1.319723325107731
local,1,512,14,14,48,9,2,3.5,48771072.0,54.8900,0.8885238112588814
local,1,512,14,14,48,9,4,2.25,20155392.0,46.2200,0.4360751189961056
local,1,3,96,96,3,3,1,94.0,1431432.0,2.2500,0.636192
local,1,3,96,96,3,3,2,47.5,365512.5,1.0470,0.34910458452722065
local,1,3,96,96,3,3,4,24.25,95266.125,0.5670,0.16801785714285716
local,1,3,96,96,3,5,1,92.0,3808800.0,4.1230,0.923793354353626
local,1,3,96,96,3,5,2,46.5,973012.5,1.7830,0.5457164890633764
local,1,3,96,96,3,5,4,23.75,253828.125,0.8230,0.308418134872418
local,1,3,96,96,3,7,1,90.0,7144200.0,6.8960,1.035991879350348
local,1,3,96,96,3,7,2,45.5,1825960.5,2.3910,0.763680677540778
local,1,3,96,96,3,7,4,23.25,476776.125,1.0900,0.43740928899082565
local,1,3,96,96,3,9,1,88.0,11290752.0,10.3220,1.0938531292385196
local,1,3,96,96,3,9,2,44.5,2887204.5,3.3040,0.873851240920097
local,1,3,96,96,3,9,4,22.75,754606.125,1.2570,0.6003230906921241
local,1,3,96,96,16,3,1,94.0,7634304.0,7.8330,0.9746334737648411
local,1,3,96,96,16,3,2,47.5,1949400.0,3.7410,0.5210906174819567
local,1,3,96,96,16,3,4,24.25,508086.0,1.4350,0.35406689895470383
local,1,3,96,96,16,5,1,92.0,20313600.0,26.2130,0.774943730210201
local,1,3,96,96,16,5,2,46.5,5189400.0,5.1210,1.0133567662565903
local,1,3,96,96,16,5,4,23.75,1353750.0,2.5740,0.5259324009324009
local,1,3,96,96,16,7,1,90.0,38102400.0,42.4840,0.8968647020054609
local,1,3,96,96,16,7,2,45.5,9738456.0,8.4710,1.1496229488844292
local,1,3,96,96,16,7,4,23.25,2542806.0,3.9080,0.6506668372569089
local,1,3,96,96,16,9,1,88.0,60217344.0,59.3180,1.0151614012610002
local,1,3,96,96,16,9,2,44.5,15398424.0,15.8000,0.9745837974683543
local,1,3,96,96,16,9,4,22.75,4024566.0,4.7790,0.8421355932203389
local,1,3,96,96,24,3,1,94.0,11451456.0,13.8700,0.8256276856524876
local,1,3,96,96,24,3,2,47.5,2924100.0,5.4020,0.541299518696779
local,1,3,96,96,24,3,4,24.25,762129.0,1.9630,0.3882470708099847
local,1,3,96,96,24,5,1,92.0,30470400.0,37.1920,0.8192729619272962
local,1,3,96,96,24,5,2,46.5,7784100.0,7.2150,1.078877338877339
local,1,3,96,96,24,5,4,23.75,2030625.0,3.6290,0.5595549738219895
local,1,3,96,96,24,7,1,90.0,57153600.0,63.9360,0.8939189189189188
local,1,3,96,96,24,7,2,45.5,14607684.0,14.6300,0.9984746411483253
local,1,3,96,96,24,7,4,23.25,3814209.0,5.6870,0.6706891155266397
local,1,3,96,96,24,9,1,88.0,90326016.0,87.3150,1.0344845215598695
local,1,3,96,96,24,9,2,44.5,23097636.0,26.0010,0.8883364485981308
local,1,3,96,96,24,9,4,22.75,6036849.0,6.8540,0.880777502188503
local,1,3,96,96,32,3,1,94.0,15268608.0,22.0950,0.6910435845213849
local,1,3,96,96,32,3,2,47.5,3898800.0,7.0210,0.5553055120353225
local,1,3,96,96,32,3,4,24.25,1016172.0,2.4750,0.4105745454545454
local,1,3,96,96,32,5,1,92.0,40627200.0,52.8190,0.7691777580037485
local,1,3,96,96,32,5,2,46.5,10378800.0,8.8450,1.1734087054833238
local,1,3,96,96,32,5,4,23.75,2707500.0,4.6590,0.5811332904056665
local,1,3,96,96,32,7,1,90.0,76204800.0,85.9270,0.8868551212075366
local,1,3,96,96,32,7,2,45.5,19476912.0,23.3200,0.8352020583190395
local,1,3,96,96,32,7,4,23.25,5085612.0,7.3560,0.6913556280587276
local,1,3,96,96,32,9,1,88.0,120434688.0,116.4300,1.034395671218758
local,1,3,96,96,32,9,2,44.5,30796848.0,36.9950,0.8324597378024057
local,1,3,96,96,32,9,4,22.75,8049132.0,11.5550,0.6965929900475984
local,1,3,96,96,48,3,1,94.0,22902912.0,32.0040,0.7156265466816648
local,1,3,96,96,48,3,2,47.5,5848200.0,10.3100,0.567235693501455
local,1,3,96,96,48,3,4,24.25,1524258.0,3.5210,0.43290485657483674
local,1,3,96,96,48,5,1,92.0,60940800.0,81.6980,0.745927684888247
local,1,3,96,96,48,5,2,46.5,15568200.0,15.7650,0.9875166508087535
local,1,3,96,96,48,5,4,23.75,4061250.0,6.7760,0.599358028335301
local,1,3,96,96,48,7,1,90.0,114307200.0,128.6940,0.8882092405240339
local,1,3,96,96,48,7,2,45.5,29215368.0,33.4370,0.8737436971020128
local,1,3,96,96,48,7,4,23.25,7628418.0,10.8230,0.7048339647047952
local,1,3,96,96,48,9,1,88.0,180652032.0,173.9950,1.0382599040202305
local,1,3,96,96,48,9,2,44.5,46195272.0,56.2780,0.820840683748534
local,1,3,96,96,48,9,4,22.75,12073698.0,20.3710,0.5926904913848118
local,1,192,22,22,3,3,1,20.0,4147200.0,4.1650,0.9957262905162064
local,1,192,22,22,3,3,2,10.5,1143072.0,1.9700,0.5802395939086294
local,1,192,22,22,3,3,4,5.75,342792.0,1.0110,0.33906231454005936
local,1,192,22,22,3,5,1,18.0,9331200.0,10.6940,0.8725640546100616
local,1,192,22,22,3,5,2,9.5,2599200.0,3.3860,0.7676314235085646
local,1,192,22,22,3,5,4,5.25,793800.0,2.2600,0.35123893805309736
local,1,192,22,22,3,7,1,16.0,14450688.0,15.2010,0.9506406157489639
local,1,192,22,22,3,7,2,8.5,4078368.0,4.3450,0.9386347525891829
local,1,192,22,22,3,7,4,4.75,1273608.0,2.6530,0.48006332453825856
local,1,192,22,22,3,9,1,14.0,18289152.0,24.0260,0.7612233413801716
local,1,192,22,22,3,9,2,7.5,5248800.0,5.5080,0.9529411764705882
local,1,192,22,22,3,9,4,4.25,1685448.0,3.2820,0.5135429616087751
local,1,192,22,22,16,3,1,20.0,22118400.0,15.8260,1.3975988879059775
local,1,192,22,22,16,3,2,10.5,6096384.0,5.5290,1.1026196418882257
local,1,192,22,22,16,3,4,5.75,1828224.0,2.7920,0.6548080229226362
local,1,192,22,22,16,5,1,18.0,49766400.0,35.1770,1.4147425874861415
local,1,192,22,22,16,5,2,9.5,13862400.0,11.0180,1.2581593755672535
local,1,192,22,22,16,5,4,5.25,4233600.0,5.8100,0.7286746987951808
local,1,192,22,22,16,7,1,16.0,77070336.0,51.5560,1.49488587167352
local,1,192,22,22,16,7,2,8.5,21751296.0,16.0920,1.3516838180462343
