layer,batch,channel,height,width,local_size,fpops,lat,gflops
norm,1,64,112,112,3,14450688,3.8350,3.7681063885267276
norm,1,64,112,112,5,28901376,3.8160,7.573735849056604
norm,1,64,112,112,7,49774592,4.4780,11.115362215274677
norm,1,256,56,56,3,14450688,3.8140,3.788853696906135
norm,1,256,56,56,5,28901376,3.8280,7.549993730407524
norm,1,256,56,56,7,49774592,3.9270,12.674966131907308
norm,1,512,14,14,3,1806336,0.7950,2.272120754716981
norm,1,512,14,14,5,3612672,0.8060,4.4822233250620345
norm,1,512,14,14,7,6221824,0.8390,7.415761620977354
norm,1,3,227,227,3,2782566,0.9600,2.8985062500000005
norm,1,3,227,227,5,5565132,0.9640,5.772958506224067
norm,1,3,227,227,7,9584394,1.4090,6.802266855926188
norm,1,128,1,1,3,2304,0.2140,0.010766355140186916
norm,1,128,1,1,5,4608,0.2140,0.021532710280373832
norm,1,128,1,1,7,7936,0.2110,0.037611374407582936
norm,1,512,1,1,3,9216,0.2650,0.03477735849056604
norm,1,512,1,1,5,18432,0.2840,0.06490140845070423
norm,1,512,1,1,7,31744,0.2850,0.11138245614035087
norm,1,384,1,1,3,6912,0.2360,0.02928813559322034
norm,1,384,1,1,5,13824,0.2470,0.05596761133603239
norm,1,384,1,1,7,23808,0.2320,0.1026206896551724
