layer,batch,channel,height,width,local_size,fpops,lat,gflops
norm,1,64,112,112,3,14450688,3.7730,3.8300259740259737
norm,1,64,112,112,5,28901376,5.3130,5.439747035573123
norm,1,64,112,112,7,49774592,3.9860,12.487353738083293
norm,1,256,56,56,3,14450688,4.4350,3.2583287485907553
norm,1,256,56,56,5,28901376,3.8580,7.491284603421462
norm,1,256,56,56,7,49774592,4.5570,10.922666666666666
norm,1,512,14,14,3,1806336,0.8210,2.2001656516443364
norm,1,512,14,14,5,3612672,0.8270,4.368406287787183
norm,1,512,14,14,7,6221824,0.8060,7.719384615384615
norm,1,3,227,227,3,2782566,0.9280,2.99845474137931
norm,1,3,227,227,5,5565132,1.4120,3.941311614730879
norm,1,3,227,227,7,9584394,0.9420,10.17451592356688
norm,1,128,1,1,3,2304,0.2150,0.010716279069767442
norm,1,128,1,1,5,4608,0.2230,0.020663677130044845
norm,1,128,1,1,7,7936,0.1530,0.05186928104575163
norm,1,512,1,1,3,9216,0.2850,0.03233684210526316
norm,1,512,1,1,5,18432,0.2640,0.06981818181818181
norm,1,512,1,1,7,31744,0.2630,0.12069961977186312
norm,1,384,1,1,3,6912,0.2520,0.02742857142857143
norm,1,384,1,1,5,13824,0.2320,0.05958620689655172
norm,1,384,1,1,7,23808,0.2340,0.10174358974358973
