layer,batch,channel,height,width,kernel_size,stride,fpops,lat,gflops
pool,1,512,14,14,3,1,589824.0,0.6370,0.9259403453689169
pool,1,512,14,14,3,2,173056.0,0.6030,0.28699170812603647
pool,1,512,14,14,3,4,57600.0,0.5830,0.09879931389365353
pool,1,512,14,14,7,1,1572864.0,0.9790,1.606602655771195
pool,1,512,14,14,7,2,497664.0,0.9030,0.5511229235880398
pool,1,512,14,14,7,4,185856.0,0.8860,0.20976975169300224
pool,1,512,14,14,11,1,983040.0,1.3750,0.7149381818181819
pool,1,512,14,14,11,2,384000.0,1.4260,0.26928471248246844
pool,1,512,14,14,11,4,188160.0,1.4700,0.128
pool,1,3,227,227,3,1,1215000.0,1.2860,0.9447900466562985
pool,1,3,227,227,3,2,306456.0,0.8560,0.35800934579439253
pool,1,3,227,227,3,4,77976.0,0.7060,0.11044759206798868
pool,1,3,227,227,7,1,7033104.0,3.2080,2.1923640897755607
pool,1,3,227,227,7,2,1774224.0,1.4150,1.2538685512367491
pool,1,3,227,227,7,4,451584.0,0.9510,0.47485173501577294
pool,1,3,227,227,11,1,16952040.0,6.6180,2.561504986400725
pool,1,3,227,227,11,2,4277160.0,2.3750,1.8009094736842106
pool,1,3,227,227,11,4,1089000.0,1.4540,0.7489683631361761
pool,1,256,56,56,3,1,5971968.0,4.1860,1.42665265169613
pool,1,256,56,56,3,2,1548800.0,2.8960,0.5348066298342542
pool,1,256,56,56,3,4,415872.0,2.6650,0.15604953095684804
pool,1,256,56,56,7,1,30720000.0,11.0970,2.768315761016491
pool,1,256,56,56,7,2,7990272.0,5.3850,1.4838016713091922
pool,1,256,56,56,7,4,2157312.0,3.7970,0.5681622333421121
pool,1,256,56,56,11,1,65003520.0,17.1160,3.797821921009582
pool,1,256,56,56,11,2,16965120.0,8.7090,1.9479986221150534
pool,1,256,56,56,11,4,4609920.0,5.4570,0.8447718526663002
pool,1,64,112,112,3,1,6195200.0,3.9090,1.5848554617549246
pool,1,64,112,112,3,2,1577088.0,2.9540,0.5338821936357482
pool,1,64,112,112,3,4,408608.0,2.6070,0.15673494438051397
pool,1,64,112,112,7,1,34516992.0,10.1380,3.404714144801736
pool,1,64,112,112,7,2,8792832.0,5.6780,1.548579077139838
pool,1,64,112,112,7,4,2281152.0,3.8390,0.5942047408179213
pool,1,64,112,112,11,1,79902720.0,21.4750,3.7207320139697324
pool,1,64,112,112,11,2,20369280.0,10.1290,2.01098627702636
pool,1,64,112,112,11,4,5292000.0,5.7760,0.9162049861495846
