layer,batch,channel,height,width,kernel_size,stride,fpops,lat,gflops
pool,1,512,14,14,3,1,589824.0,0.6540,0.9018715596330275
pool,1,512,14,14,3,2,173056.0,0.6270,0.276006379585327
pool,1,512,14,14,3,4,57600.0,0.5920,0.0972972972972973
pool,1,512,14,14,7,1,1572864.0,0.9710,1.619839340885685
pool,1,512,14,14,7,2,497664.0,0.8810,0.5648853575482405
pool,1,512,14,14,7,4,185856.0,0.9200,0.20201739130434782
pool,1,512,14,14,11,1,983040.0,1.3910,0.7067145938173974
pool,1,512,14,14,11,2,384000.0,1.3860,0.2770562770562771
pool,1,512,14,14,11,4,188160.0,1.4390,0.13075747046560113
pool,1,3,227,227,3,1,1215000.0,1.3350,0.9101123595505618
pool,1,3,227,227,3,2,306456.0,0.8510,0.36011280846063454
pool,1,3,227,227,3,4,77976.0,0.8230,0.09474605103280681
pool,1,3,227,227,7,1,7033104.0,3.2370,2.1727228915662646
pool,1,3,227,227,7,2,1774224.0,1.3890,1.27733909287257
pool,1,3,227,227,7,4,451584.0,0.9480,0.47635443037974684
pool,1,3,227,227,11,1,16952040.0,6.6340,2.555327102803738
pool,1,3,227,227,11,2,4277160.0,2.3820,1.795617128463476
pool,1,3,227,227,11,4,1089000.0,1.4100,0.7723404255319148
pool,1,256,56,56,3,1,5971968.0,4.1550,1.4372967509025272
pool,1,256,56,56,3,2,1548800.0,2.9420,0.5264445955132563
pool,1,256,56,56,3,4,415872.0,2.6080,0.1594601226993865
pool,1,256,56,56,7,1,30720000.0,11.1550,2.753922008068131
pool,1,256,56,56,7,2,7990272.0,5.2780,1.5138825312618418
pool,1,256,56,56,7,4,2157312.0,3.7530,0.5748233413269384
pool,1,256,56,56,11,1,65003520.0,17.0590,3.8105117533266895
pool,1,256,56,56,11,2,16965120.0,8.6900,1.9522577675489068
pool,1,256,56,56,11,4,4609920.0,5.4500,0.845856880733945
pool,1,64,112,112,3,1,6195200.0,3.9330,1.5751843376557335
pool,1,64,112,112,3,2,1577088.0,2.9810,0.5290466286481047
pool,1,64,112,112,3,4,408608.0,2.6490,0.15424990562476407
pool,1,64,112,112,7,1,34516992.0,10.1810,3.3903341518514885
pool,1,64,112,112,7,2,8792832.0,5.7350,1.5331877942458587
pool,1,64,112,112,7,4,2281152.0,3.7920,0.6015696202531645
pool,1,64,112,112,11,1,79902720.0,21.5060,3.715368734306705
pool,1,64,112,112,11,2,20369280.0,10.1380,2.0092010258433617
pool,1,64,112,112,11,4,5292000.0,5.7800,0.9155709342560554
