layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
conv,1,96,55,55,128,5,2,26.0,415334400.0,0.7960,521.776884422
conv,1,96,55,55,256,5,1,51.0,3196108800.0,2.0260,1577.54629812
conv,1,96,55,55,64,5,4,13.5,55987200.0,0.8700,64.3531034483
conv,1,384,13,13,256,3,1,11.0,214106112.0,0.9720,220.273777778
conv,1,1,28,28,20,7,1,22.0,948640.0,0.0730,12.9950684932
conv,1,1,22,22,50,5,1,18.0,810000.0,0.0680,11.9117647059
conv,1,3,152,152,48,9,1,144.0,483729408.0,0.7710,627.405198444
conv,1,256,13,13,256,3,1,11.0,142737408.0,0.6870,207.769152838
conv,1,3,227,227,256,11,2,109.0,2208155136.0,1.4210,1553.94450106
conv,1,3,227,227,96,11,4,55.0,210830400.0,0.4570,461.335667396
conv,1,3,227,227,48,11,1,217.0,1640957472.0,2.1750,754.463205517
conv,1,64,71,71,32,5,2,34.0,118374400.0,0.7630,155.143381389
conv,1,32,64,64,16,9,2,28.5,67371264.0,0.5570,120.953795332
conv,1,3,152,152,32,11,1,142.0,468450048.0,0.6390,733.098666667
