layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
conv,1,96,55,55,128,5,2,26.0,415334400.0,0.7910,525.075094817
conv,1,96,55,55,256,5,1,51.0,3196108800.0,2.0100,1590.1038806
conv,1,96,55,55,64,5,4,13.5,55987200.0,0.8870,63.119729425
conv,1,384,13,13,256,3,1,11.0,214106112.0,0.9690,220.955739938
conv,1,1,28,28,20,7,1,22.0,948640.0,0.0860,11.0306976744
conv,1,1,22,22,50,5,1,18.0,810000.0,0.0670,12.0895522388
conv,1,3,152,152,48,9,1,144.0,483729408.0,0.8230,587.763557716
conv,1,256,13,13,256,3,1,11.0,142737408.0,0.6760,211.150011834
conv,1,3,227,227,256,11,2,109.0,2208155136.0,1.4120,1563.84924646
conv,1,3,227,227,96,11,4,55.0,210830400.0,0.4560,462.347368421
conv,1,3,227,227,48,11,1,217.0,1640957472.0,2.1820,752.042837764
conv,1,64,71,71,32,5,2,34.0,118374400.0,1.0280,115.150194553
conv,1,32,64,64,16,9,2,28.5,67371264.0,0.5620,119.87769395
conv,1,3,152,152,32,11,1,142.0,468450048.0,0.6240,750.721230769
