layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,640,1,1,64,40960,0.1100,0.372363636364
fc,1,640,1,1,128,81920,0.1080,0.758518518519
fc,1,640,1,1,196,125440,0.1090,1.15082568807
fc,1,640,1,1,256,163840,0.1100,1.48945454545
fc,1,640,1,1,320,204800,0.1090,1.87889908257
fc,1,640,1,1,384,245760,0.1070,2.29682242991
fc,1,640,1,1,512,327680,0.1160,2.82482758621
fc,1,640,1,1,768,491520,0.1190,4.13042016807
fc,1,640,1,1,1024,655360,0.2070,3.16599033816
fc,1,640,1,1,1536,983040,0.2120,4.63698113208
fc,1,640,1,1,2048,1310720,0.2320,5.64965517241
fc,1,640,1,1,2560,1638400,0.2300,7.12347826087
fc,1,640,1,1,3072,1966080,0.2480,7.92774193548
fc,1,640,1,1,3200,2048000,0.2540,8.06299212598
fc,1,640,1,1,4096,2621440,0.2810,9.32896797153
fc,1,384,1,1,64,24576,0.0860,0.28576744186
fc,1,384,1,1,128,49152,0.0850,0.578258823529
fc,1,384,1,1,196,75264,0.0860,0.875162790698
fc,1,384,1,1,256,98304,0.0860,1.14306976744
fc,1,384,1,1,320,122880,0.0870,1.4124137931
fc,1,384,1,1,384,147456,0.0850,1.73477647059
fc,1,384,1,1,512,196608,0.0880,2.23418181818
fc,1,384,1,1,768,294912,0.0890,3.31361797753
fc,1,384,1,1,1024,393216,0.1500,2.62144
fc,1,384,1,1,1536,589824,0.1510,3.9061192053
fc,1,384,1,1,2048,786432,0.1650,4.76625454545
fc,1,384,1,1,2560,983040,0.1660,5.92192771084
fc,1,384,1,1,3072,1179648,0.1820,6.48158241758
fc,1,384,1,1,3200,1228800,0.1840,6.67826086957
fc,1,384,1,1,4096,1572864,0.2060,7.63526213592
fc,1,576,1,1,64,36864,0.1130,0.326230088496
fc,1,576,1,1,128,73728,0.1030,0.715805825243
fc,1,576,1,1,196,112896,0.1040,1.08553846154
fc,1,576,1,1,256,147456,0.1040,1.41784615385
fc,1,576,1,1,320,184320,0.1020,1.80705882353
fc,1,576,1,1,384,221184,0.1010,2.18994059406
fc,1,576,1,1,512,294912,0.1100,2.68101818182
fc,1,576,1,1,768,442368,0.1110,3.9852972973
fc,1,576,1,1,1024,589824,0.1930,3.05608290155
fc,1,576,1,1,1536,884736,0.1950,4.53710769231
fc,1,576,1,1,2048,1179648,0.2080,5.67138461538
fc,1,576,1,1,2560,1474560,0.2130,6.92281690141
fc,1,576,1,1,3072,1769472,0.2260,7.82952212389
fc,1,576,1,1,3200,1843200,0.2260,8.15575221239
fc,1,576,1,1,4096,2359296,0.2600,9.07421538462
fc,1,768,1,1,64,49152,0.1190,0.413042016807
fc,1,768,1,1,128,98304,0.1200,0.8192
fc,1,768,1,1,196,150528,0.1200,1.2544
fc,1,768,1,1,256,196608,0.1250,1.572864
fc,1,768,1,1,320,245760,0.1220,2.01442622951
fc,1,768,1,1,384,294912,0.1280,2.304
fc,1,768,1,1,512,393216,0.1300,3.02473846154
fc,1,768,1,1,768,589824,0.1300,4.53710769231
fc,1,768,1,1,1024,786432,0.2310,3.40446753247
fc,1,768,1,1,1536,1179648,0.2360,4.99850847458
fc,1,768,1,1,2048,1572864,0.2590,6.07283397683
fc,1,768,1,1,2560,1966080,0.2610,7.53287356322
fc,1,768,1,1,3072,2359296,0.2930,8.05220477816
fc,1,768,1,1,3200,2457600,0.2900,8.47448275862
fc,1,768,1,1,4096,3145728,0.3330,9.44663063063
fc,1,512,1,1,64,32768,0.0960,0.341333333333
fc,1,512,1,1,128,65536,0.0980,0.668734693878
fc,1,512,1,1,196,100352,0.0970,1.03455670103
fc,1,512,1,1,256,131072,0.0960,1.36533333333
fc,1,512,1,1,320,163840,0.0980,1.67183673469
fc,1,512,1,1,384,196608,0.1050,1.87245714286
fc,1,512,1,1,512,262144,0.1040,2.52061538462
fc,1,512,1,1,768,393216,0.1060,3.70958490566
