layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,1,640,1,1,64,40960,0.1140,0.359298245614
fc,1,640,1,1,128,81920,0.1140,0.718596491228
fc,1,640,1,1,196,125440,0.1200,1.04533333333
fc,1,640,1,1,256,163840,0.1110,1.47603603604
fc,1,640,1,1,320,204800,0.1120,1.82857142857
fc,1,640,1,1,384,245760,0.1460,1.68328767123
fc,1,640,1,1,512,327680,0.1160,2.82482758621
fc,1,640,1,1,768,491520,0.1360,3.61411764706
fc,1,640,1,1,1024,655360,0.2080,3.15076923077
fc,1,640,1,1,1536,983040,0.2100,4.68114285714
fc,1,640,1,1,2048,1310720,0.2280,5.74877192982
fc,1,640,1,1,2560,1638400,0.2320,7.06206896552
fc,1,640,1,1,3072,1966080,0.2520,7.8019047619
fc,1,640,1,1,3200,2048000,0.2520,8.12698412698
fc,1,640,1,1,4096,2621440,0.2770,9.46368231047
fc,1,384,1,1,64,24576,0.0880,0.279272727273
fc,1,384,1,1,128,49152,0.0850,0.578258823529
fc,1,384,1,1,196,75264,0.0870,0.865103448276
fc,1,384,1,1,256,98304,0.0860,1.14306976744
fc,1,384,1,1,320,122880,0.0860,1.4288372093
fc,1,384,1,1,384,147456,0.0860,1.71460465116
fc,1,384,1,1,512,196608,0.0890,2.20907865169
fc,1,384,1,1,768,294912,0.0890,3.31361797753
fc,1,384,1,1,1024,393216,0.1490,2.63903355705
fc,1,384,1,1,1536,589824,0.1510,3.9061192053
fc,1,384,1,1,2048,786432,0.1640,4.79531707317
fc,1,384,1,1,2560,983040,0.1660,5.92192771084
fc,1,384,1,1,3072,1179648,0.1820,6.48158241758
fc,1,384,1,1,3200,1228800,0.1810,6.78895027624
fc,1,384,1,1,4096,1572864,0.2090,7.52566507177
fc,1,2000,1,1,64,128000,0.1240,1.03225806452
fc,1,2000,1,1,128,256000,0.1280,2.0
fc,1,2000,1,1,196,392000,0.1260,3.11111111111
fc,1,2000,1,1,256,512000,0.1250,4.096
fc,1,2000,1,1,320,640000,0.1280,5.0
fc,1,2000,1,1,384,768000,0.1290,5.95348837209
fc,1,2000,1,1,512,1024000,0.1330,7.6992481203
fc,1,2000,1,1,768,1536000,0.1370,11.2116788321
fc,1,2000,1,1,1024,2048000,0.1460,14.0273972603
fc,1,2000,1,1,1536,3072000,0.1710,17.9649122807
fc,1,2000,1,1,2048,4096000,0.2070,19.7874396135
fc,1,2000,1,1,2560,5120000,0.2830,18.0918727915
fc,1,2000,1,1,3072,6144000,0.2960,20.7567567568
fc,1,2000,1,1,3200,6400000,0.3260,19.6319018405
fc,1,2000,1,1,4096,8192000,0.3580,22.8826815642
fc,1,576,1,1,64,36864,0.1030,0.357902912621
fc,1,576,1,1,128,73728,0.1020,0.722823529412
fc,1,576,1,1,196,112896,0.1050,1.0752
fc,1,576,1,1,256,147456,0.1020,1.44564705882
fc,1,576,1,1,320,184320,0.1090,1.69100917431
fc,1,576,1,1,384,221184,0.1040,2.12676923077
fc,1,576,1,1,512,294912,0.1110,2.65686486486
fc,1,576,1,1,768,442368,0.1130,3.91476106195
fc,1,576,1,1,1024,589824,0.1930,3.05608290155
fc,1,576,1,1,1536,884736,0.1960,4.51395918367
fc,1,576,1,1,2048,1179648,0.2210,5.33777375566
fc,1,576,1,1,2560,1474560,0.2120,6.95547169811
fc,1,576,1,1,3072,1769472,0.2260,7.82952212389
fc,1,576,1,1,3200,1843200,0.2310,7.97922077922
fc,1,576,1,1,4096,2359296,0.2600,9.07421538462
fc,1,4000,1,1,64,256000,0.1360,1.88235294118
fc,1,4000,1,1,128,512000,0.1410,3.63120567376
fc,1,4000,1,1,196,784000,0.1420,5.52112676056
