layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,512,14,14,3,3,1,12.0,3981312.0,1.7100,2.32825263158
local,1,512,14,14,3,3,2,6.5,1168128.0,1.6720,0.698641148325
local,1,512,14,14,3,3,4,3.75,388800.0,1.9200,0.2025
local,1,512,14,14,3,5,1,10.0,7680000.0,2.3970,3.20400500626
local,1,512,14,14,3,5,2,5.5,2323200.0,1.7890,1.29860257127
local,1,512,14,14,3,5,4,3.25,811200.0,1.7520,0.46301369863
local,1,512,14,14,3,7,1,8.0,9633792.0,2.2080,4.36313043478
local,1,512,14,14,3,7,2,4.5,3048192.0,1.9250,1.58347636364
local,1,512,14,14,3,7,4,2.75,1138368.0,1.9410,0.586485316847
local,1,512,14,14,3,9,1,6.0,8957952.0,2.5870,3.4626795516
local,1,512,14,14,3,9,2,3.5,3048192.0,2.2470,1.35656074766
local,1,512,14,14,3,9,4,2.25,1259712.0,2.2430,0.56161925992
local,1,512,14,14,16,3,1,12.0,21233664.0,3.2190,6.59635414725
local,1,512,14,14,16,3,2,6.5,6230016.0,2.7600,2.25725217391
local,1,512,14,14,16,3,4,3.75,2073600.0,1.9740,1.05045592705
local,1,512,14,14,16,5,1,10.0,40960000.0,4.3700,9.37299771167
local,1,512,14,14,16,5,2,5.5,12390400.0,3.3870,3.65822261588
local,1,512,14,14,16,5,4,3.25,4326400.0,3.0500,1.41849180328
local,1,512,14,14,16,7,1,8.0,51380224.0,5.1560,9.96513266098
local,1,512,14,14,16,7,2,4.5,16257024.0,4.2160,3.85603036053
local,1,512,14,14,16,7,4,2.75,6071296.0,3.9920,1.52086573146
local,1,512,14,14,16,9,1,6.0,47775744.0,6.3730,7.49658622313
local,1,512,14,14,16,9,2,3.5,16257024.0,5.2550,3.09362968601
local,1,512,14,14,16,9,4,2.25,6718464.0,5.0340,1.33461740167
local,1,512,14,14,24,3,1,12.0,31850496.0,4.4660,7.13177250336
local,1,512,14,14,24,3,2,6.5,9345024.0,4.2920,2.17731220876
local,1,512,14,14,24,3,4,3.75,3110400.0,3.5990,0.864240066685
local,1,512,14,14,24,5,1,10.0,61440000.0,7.0990,8.65474010424
local,1,512,14,14,24,5,2,5.5,18585600.0,4.3520,4.27058823529
local,1,512,14,14,24,5,4,3.25,6489600.0,3.8740,1.67516778523
local,1,512,14,14,24,7,1,8.0,77070336.0,7.1240,10.8184076362
local,1,512,14,14,24,7,2,4.5,24385536.0,5.4130,4.50499464253
local,1,512,14,14,24,7,4,2.75,9106944.0,5.1320,1.77454091972
local,1,512,14,14,24,9,1,6.0,71663616.0,8.8200,8.12512653061
local,1,512,14,14,24,9,2,3.5,24385536.0,8.3320,2.92673259722
local,1,512,14,14,24,9,4,2.25,10077696.0,6.7470,1.49365584704
local,1,512,14,14,32,3,1,12.0,42467328.0,4.4900,9.45820222717
local,1,512,14,14,32,3,2,6.5,12460032.0,4.1330,3.01476699734
local,1,512,14,14,32,3,4,3.75,4147200.0,3.1100,1.33350482315
local,1,512,14,14,32,5,1,10.0,81920000.0,7.2830,11.2481120417
local,1,512,14,14,32,5,2,5.5,24780800.0,5.3130,4.66418219462
local,1,512,14,14,32,5,4,3.25,8652800.0,4.6790,1.84928403505
local,1,512,14,14,32,7,1,8.0,102760448.0,9.3290,11.0151621824
local,1,512,14,14,32,7,2,4.5,32514048.0,6.7300,4.83121069837
local,1,512,14,14,32,7,4,2.75,12142592.0,7.3570,1.65048144624
local,1,512,14,14,32,9,1,6.0,95551488.0,11.6040,8.23435780765
local,1,512,14,14,32,9,2,3.5,32514048.0,9.2080,3.53106516073
local,1,512,14,14,32,9,4,2.25,13436928.0,8.9340,1.50402149093
local,1,512,14,14,48,3,1,12.0,63700992.0,6.3610,10.0143046691
local,1,512,14,14,48,3,2,6.5,18690048.0,7.1150,2.62685144062
local,1,512,14,14,48,3,4,3.75,6220800.0,4.2430,1.46613245345
local,1,512,14,14,48,5,1,10.0,122880000.0,9.6110,12.7853501197
local,1,512,14,14,48,5,2,5.5,37171200.0,7.2830,5.10383083894
local,1,512,14,14,48,5,4,3.25,12979200.0,6.5550,1.98004576659
local,1,512,14,14,48,7,1,8.0,154140672.0,12.7510,12.0885163517
local,1,512,14,14,48,7,2,4.5,48771072.0,9.6860,5.03521288458
local,1,512,14,14,48,7,4,2.75,18213888.0,8.3900,2.17090441001
local,1,512,14,14,48,9,1,6.0,143327232.0,16.1320,8.88465360774
local,1,512,14,14,48,9,2,3.5,48771072.0,13.4830,3.61722702663
local,1,512,14,14,48,9,4,2.25,20155392.0,12.5220,1.6095984667
local,1,3,96,96,3,3,1,94.0,1431432.0,0.8730,1.63967010309
local,1,3,96,96,3,3,2,47.5,365512.5,0.1920,1.9037109375
local,1,3,96,96,3,3,4,24.25,95266.125,0.1890,0.504053571429
local,1,3,96,96,3,5,1,92.0,3808800.0,1.0380,3.66936416185
local,1,3,96,96,3,5,2,46.5,973012.5,0.8710,1.11712112514
local,1,3,96,96,3,5,4,23.75,253828.125,0.2300,1.10360054348
local,1,3,96,96,3,7,1,90.0,7144200.0,1.2140,5.88484349259
local,1,3,96,96,3,7,2,45.5,1825960.5,1.0060,1.81507007952
local,1,3,96,96,3,7,4,23.25,476776.125,0.2380,2.00326102941
local,1,3,96,96,3,9,1,88.0,11290752.0,1.3810,8.17577986966
local,1,3,96,96,3,9,2,44.5,2887204.5,1.0370,2.78418948891
local,1,3,96,96,3,9,4,22.75,754606.125,0.2860,2.63848295455
local,1,3,96,96,16,3,1,94.0,7634304.0,1.4060,5.42980369844
local,1,3,96,96,16,3,2,47.5,1949400.0,0.5020,3.88326693227
local,1,3,96,96,16,3,4,24.25,508086.0,0.4320,1.176125
local,1,3,96,96,16,5,1,92.0,20313600.0,2.2310,9.10515463918
local,1,3,96,96,16,5,2,46.5,5189400.0,1.4480,3.58383977901
local,1,3,96,96,16,5,4,23.75,1353750.0,0.5040,2.68601190476
local,1,3,96,96,16,7,1,90.0,38102400.0,3.0250,12.5958347107
local,1,3,96,96,16,7,2,45.5,9738456.0,1.8080,5.38631415929
local,1,3,96,96,16,7,4,23.25,2542806.0,0.6570,3.87032876712
local,1,3,96,96,16,9,1,88.0,60217344.0,4.0630,14.8209067192
local,1,3,96,96,16,9,2,44.5,15398424.0,2.3240,6.62582788296
local,1,3,96,96,16,9,4,22.75,4024566.0,0.8330,4.83141176471
local,1,3,96,96,24,3,1,94.0,11451456.0,1.7400,6.58129655172
local,1,3,96,96,24,3,2,47.5,2924100.0,0.6860,4.26253644315
local,1,3,96,96,24,3,4,24.25,762129.0,0.5900,1.2917440678
