layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,512,14,14,3,3,1,12.0,3981312.0,1.7340,2.29602768166
local,1,512,14,14,3,3,2,6.5,1168128.0,1.6580,0.704540410133
local,1,512,14,14,3,3,4,3.75,388800.0,1.0430,0.372770853308
local,1,512,14,14,3,5,1,10.0,7680000.0,1.9570,3.9243740419
local,1,512,14,14,3,5,2,5.5,2323200.0,2.0650,1.12503631961
local,1,512,14,14,3,5,4,3.25,811200.0,1.7530,0.462749572162
local,1,512,14,14,3,7,1,8.0,9633792.0,2.1400,4.50177196262
local,1,512,14,14,3,7,2,4.5,3048192.0,2.1840,1.39569230769
local,1,512,14,14,3,7,4,2.75,1138368.0,1.9430,0.585881626351
local,1,512,14,14,3,9,1,6.0,8957952.0,2.4320,3.68336842105
local,1,512,14,14,3,9,2,3.5,3048192.0,2.2470,1.35656074766
local,1,512,14,14,3,9,4,2.25,1259712.0,2.2200,0.567437837838
local,1,512,14,14,16,3,1,12.0,21233664.0,3.4250,6.19960992701
local,1,512,14,14,16,3,2,6.5,6230016.0,2.7800,2.24101294964
local,1,512,14,14,16,3,4,3.75,2073600.0,1.9700,1.05258883249
local,1,512,14,14,16,5,1,10.0,40960000.0,4.3760,9.36014625229
local,1,512,14,14,16,5,2,5.5,12390400.0,3.4250,3.6176350365
local,1,512,14,14,16,5,4,3.25,4326400.0,3.0870,1.40149011986
local,1,512,14,14,16,7,1,8.0,51380224.0,5.6280,9.12939303483
local,1,512,14,14,16,7,2,4.5,16257024.0,4.1260,3.94014154144
local,1,512,14,14,16,7,4,2.75,6071296.0,4.5100,1.34618536585
local,1,512,14,14,16,9,1,6.0,47775744.0,6.3920,7.4743028786
local,1,512,14,14,16,9,2,3.5,16257024.0,5.2380,3.10367010309
local,1,512,14,14,16,9,4,2.25,6718464.0,5.0040,1.34261870504
local,1,512,14,14,24,3,1,12.0,31850496.0,4.1230,7.72507785593
local,1,512,14,14,24,3,2,6.5,9345024.0,3.4550,2.70478263386
local,1,512,14,14,24,3,4,3.75,3110400.0,2.5390,1.22504923198
local,1,512,14,14,24,5,1,10.0,61440000.0,5.8090,10.576691341
local,1,512,14,14,24,5,2,5.5,18585600.0,4.3640,4.25884509624
local,1,512,14,14,24,5,4,3.25,6489600.0,3.9550,1.6408596713
local,1,512,14,14,24,7,1,8.0,77070336.0,7.1180,10.8275268334
local,1,512,14,14,24,7,2,4.5,24385536.0,5.4340,4.48758483622
local,1,512,14,14,24,7,4,2.75,9106944.0,4.9410,1.84313782635
local,1,512,14,14,24,9,1,6.0,71663616.0,8.8260,8.11960299116
local,1,512,14,14,24,9,2,3.5,24385536.0,7.1030,3.43313191609
local,1,512,14,14,24,9,4,2.25,10077696.0,6.7920,1.48375971731
local,1,512,14,14,32,3,1,12.0,42467328.0,4.5310,9.37261708232
local,1,512,14,14,32,3,2,6.5,12460032.0,4.1020,3.03755046319
local,1,512,14,14,32,3,4,3.75,4147200.0,3.1280,1.32583120205
local,1,512,14,14,32,5,1,10.0,81920000.0,7.2980,11.2249931488
local,1,512,14,14,32,5,2,5.5,24780800.0,5.4560,4.54193548387
local,1,512,14,14,32,5,4,3.25,8652800.0,4.7000,1.8410212766
local,1,512,14,14,32,7,1,8.0,102760448.0,9.0200,11.3925108647
local,1,512,14,14,32,7,2,4.5,32514048.0,6.7700,4.80266587888
local,1,512,14,14,32,7,4,2.75,12142592.0,6.0560,2.00505151915
local,1,512,14,14,32,9,1,6.0,95551488.0,11.2420,8.49950969578
local,1,512,14,14,32,9,2,3.5,32514048.0,8.9390,3.63732498042
local,1,512,14,14,32,9,4,2.25,13436928.0,8.4910,1.58249063715
local,1,512,14,14,48,3,1,12.0,63700992.0,6.2960,10.1176925032
local,1,512,14,14,48,3,2,6.5,18690048.0,5.4680,3.41807754206
local,1,512,14,14,48,3,4,3.75,6220800.0,4.2760,1.45481758653
local,1,512,14,14,48,5,1,10.0,122880000.0,9.7460,12.6082495383
