layer,batch,channel,height,width,local_size,fpops,lat,gflops
norm,1,64,112,112,3,14450688,1.1290,12.7995465013
norm,1,64,112,112,5,28901376,1.1140,25.9437845601
norm,1,64,112,112,7,49774592,1.1170,44.5609597135
norm,1,256,56,56,3,14450688,1.2010,12.0322131557
norm,1,256,56,56,5,28901376,1.3350,21.6489707865
norm,1,256,56,56,7,49774592,1.1980,41.5480734558
norm,1,512,14,14,3,1806336,0.4230,4.27029787234
norm,1,512,14,14,5,3612672,0.4240,8.52045283019
norm,1,512,14,14,7,6221824,0.4230,14.7088037825
norm,1,3,227,227,3,2782566,0.3370,8.25687240356
norm,1,3,227,227,5,5565132,0.3330,16.7121081081
norm,1,3,227,227,7,9584394,0.3400,28.1893941176
norm,1,128,1,1,3,2304,0.0730,0.0315616438356
norm,1,128,1,1,5,4608,0.0720,0.064
norm,1,128,1,1,7,7936,0.0730,0.108712328767
norm,1,512,1,1,3,9216,0.1960,0.0470204081633
norm,1,512,1,1,5,18432,0.1960,0.0940408163265
norm,1,512,1,1,7,31744,0.1950,0.16278974359
norm,1,384,1,1,3,6912,0.1540,0.0448831168831
norm,1,384,1,1,5,13824,0.1570,0.088050955414
norm,1,384,1,1,7,23808,0.1540,0.154597402597
