layer,batch,channel,height,width,local_size,fpops,lat,gflops
norm,1,64,112,112,3,14450688,1.1440,12.6317202797
norm,1,64,112,112,5,28901376,1.4470,19.9733075328
norm,1,64,112,112,7,49774592,1.1420,43.5854570928
norm,1,256,56,56,3,14450688,1.2300,11.7485268293
norm,1,256,56,56,5,28901376,1.2250,23.59296
norm,1,256,56,56,7,49774592,1.2690,39.2234767533
norm,1,512,14,14,3,1806336,0.4160,4.34215384615
norm,1,512,14,14,5,3612672,0.4160,8.68430769231
norm,1,512,14,14,7,6221824,0.4160,14.9563076923
norm,1,3,227,227,3,2782566,0.3240,8.58816666667
norm,1,3,227,227,5,5565132,0.3270,17.0187522936
norm,1,3,227,227,7,9584394,0.3270,29.3100733945
norm,1,128,1,1,3,2304,0.0740,0.0311351351351
norm,1,128,1,1,5,4608,0.0790,0.0583291139241
norm,1,128,1,1,7,7936,0.0730,0.108712328767
norm,1,512,1,1,3,9216,0.1950,0.0472615384615
norm,1,512,1,1,5,18432,0.1970,0.0935634517766
norm,1,512,1,1,7,31744,0.2070,0.153352657005
norm,1,384,1,1,3,6912,0.1530,0.0451764705882
norm,1,384,1,1,5,13824,0.1550,0.0891870967742
norm,1,384,1,1,7,23808,0.1600,0.1488
