layer,batch,channel,height,width,kernel_size,stride,fpops,lat,gflops
pool,1,512,14,14,3,1,589824.0,0.2330,2.53143347639
pool,1,512,14,14,3,2,173056.0,0.2290,0.755703056769
pool,1,512,14,14,3,4,57600.0,0.2930,0.196587030717
pool,1,512,14,14,7,1,1572864.0,0.2740,5.74037956204
pool,1,512,14,14,7,2,497664.0,0.2700,1.8432
pool,1,512,14,14,7,4,185856.0,0.2640,0.704
pool,1,512,14,14,11,1,983040.0,0.3370,2.91703264095
pool,1,512,14,14,11,2,384000.0,0.3450,1.11304347826
pool,1,512,14,14,11,4,188160.0,0.3370,0.558338278932
pool,1,3,227,227,3,1,1215000.0,1.1450,1.06113537118
pool,1,3,227,227,3,2,306456.0,0.5540,0.55316967509
pool,1,3,227,227,3,4,77976.0,0.4240,0.183905660377
pool,1,3,227,227,7,1,7033104.0,3.9300,1.78959389313
pool,1,3,227,227,7,2,1774224.0,1.2660,1.40144075829
pool,1,3,227,227,7,4,451584.0,0.6370,0.708923076923
pool,1,3,227,227,11,1,16952040.0,9.0300,1.87730232558
pool,1,3,227,227,11,2,4277160.0,2.5800,1.65781395349
pool,1,3,227,227,11,4,1089000.0,1.0920,0.997252747253
pool,1,256,56,56,3,1,5971968.0,1.3210,4.52079333838
pool,1,256,56,56,3,2,1548800.0,1.1370,1.36218117854
pool,1,256,56,56,3,4,415872.0,1.1070,0.375674796748
pool,1,256,56,56,7,1,30720000.0,2.1490,14.29502094
pool,1,256,56,56,7,2,7990272.0,1.3580,5.88385272459
pool,1,256,56,56,7,4,2157312.0,1.1980,1.80076126878
pool,1,256,56,56,11,1,65003520.0,2.5030,25.9702437076
pool,1,256,56,56,11,2,16965120.0,1.7590,9.6447527004
pool,1,256,56,56,11,4,4609920.0,1.3510,3.41222797927
pool,1,64,112,112,3,1,6195200.0,2.2790,2.71838525669
pool,1,64,112,112,3,2,1577088.0,1.1540,1.36662738302
pool,1,64,112,112,3,4,408608.0,1.1070,0.369112917796
pool,1,64,112,112,7,1,34516992.0,2.1880,15.7755904936
pool,1,64,112,112,7,2,8792832.0,1.4460,6.0807966805
pool,1,64,112,112,7,4,2281152.0,1.2020,1.89779700499
pool,1,64,112,112,11,1,79902720.0,3.4590,23.0999479618
pool,1,64,112,112,11,2,20369280.0,2.8100,7.24885409253
pool,1,64,112,112,11,4,5292000.0,1.3680,3.86842105263
