layer,batch,channel,height,width,kernel_size,stride,fpops,lat,gflops
pool,1,512,14,14,3,1,589824.0,0.3250,1.81484307692
pool,1,512,14,14,3,2,173056.0,0.3720,0.465204301075
pool,1,512,14,14,3,4,57600.0,0.2330,0.247210300429
pool,1,512,14,14,7,1,1572864.0,0.4530,3.47210596026
pool,1,512,14,14,7,2,497664.0,0.2650,1.87797735849
pool,1,512,14,14,7,4,185856.0,0.2650,0.701343396226
pool,1,512,14,14,11,1,983040.0,0.3340,2.94323353293
pool,1,512,14,14,11,2,384000.0,0.3430,1.1195335277
pool,1,512,14,14,11,4,188160.0,0.3430,0.548571428571
pool,1,3,227,227,3,1,1215000.0,1.1450,1.06113537118
pool,1,3,227,227,3,2,306456.0,0.5570,0.550190305206
pool,1,3,227,227,3,4,77976.0,0.3770,0.206832891247
pool,1,3,227,227,7,1,7033104.0,3.9360,1.78686585366
pool,1,3,227,227,7,2,1774224.0,1.2510,1.41824460432
pool,1,3,227,227,7,4,451584.0,0.6400,0.7056
pool,1,3,227,227,11,1,16952040.0,9.0160,1.8802173913
pool,1,3,227,227,11,2,4277160.0,2.5810,1.6571716389
pool,1,3,227,227,11,4,1089000.0,1.0850,1.00368663594
pool,1,256,56,56,3,1,5971968.0,1.2730,4.69125530244
pool,1,256,56,56,3,2,1548800.0,1.1560,1.33979238754
pool,1,256,56,56,3,4,415872.0,2.0180,0.206081268583
pool,1,256,56,56,7,1,30720000.0,2.0840,14.7408829175
pool,1,256,56,56,7,2,7990272.0,2.3720,3.36858010118
pool,1,256,56,56,7,4,2157312.0,1.1960,1.80377257525
pool,1,256,56,56,11,1,65003520.0,2.4870,26.1373220748
pool,1,256,56,56,11,2,16965120.0,1.7390,9.75567567568
pool,1,256,56,56,11,4,4609920.0,1.4040,3.28341880342
pool,1,64,112,112,3,1,6195200.0,1.4430,4.29327789328
pool,1,64,112,112,3,2,1577088.0,1.1790,1.33764885496
pool,1,64,112,112,3,4,408608.0,1.0970,0.372477666363
pool,1,64,112,112,7,1,34516992.0,2.0750,16.6346949398
pool,1,64,112,112,7,2,8792832.0,1.4390,6.11037665045
pool,1,64,112,112,7,4,2281152.0,1.2230,1.865210139
pool,1,64,112,112,11,1,79902720.0,3.4510,23.1534975369
pool,1,64,112,112,11,2,20369280.0,1.9090,10.6701309586
pool,1,64,112,112,11,4,5292000.0,1.3690,3.86559532505
