app,plat,batch,fwd
imc, cpu, 1, 353.0940,
imc, cpu, 16, 3351.1510,
imc, cpu, 32, 6553.4820,
imc, cpu, 64, 12948.1590,
imc, cpu, 128, 25806.5800,
imc, cpu, 256, 51784.8790,
imc, cpu, 512, 105155.2657,
dig, cpu, 100, 163.6467,
dig, cpu, 1600, 2718.5317,
dig, cpu, 3200, 5369.9553,
dig, cpu, 6400, 10903.7633,
dig, cpu, 12800, 21894.3320,
dig, cpu, 25600, 43283.5360,
dig, cpu, 51200, 87700.4780,
imc, gpu, 1,  6.83,
imc, gpu, 16, 27.3040,
imc, gpu, 32, 47.1243,
imc, gpu, 64, 93.3267,
imc, gpu, 128, 175.4243,
imc, gpu, 256, 342.9517,
imc, gpu, 512, 668.2537,
dig, gpu, 100, 1.59,
dig, gpu, 1600, 17.6680,
dig, gpu, 3200, 35.1757,
dig, gpu, 6400, 69.3357,
dig, gpu, 12800, 137.9907,
dig, gpu, 25600, 274.4533,
dig, gpu, 51200, 551.9797,
face, cpu, 1, 4366.4897,
face, cpu, 16, 68164.2327,
face, cpu, 32, 136386.3603,
face, cpu, 64, 277692.0440,
face, gpu, 128, 1813.5983,
face, gpu, 1, 18.3683,
face, gpu, 16, 217.4423,
face, gpu, 32, 428.9730,
face, gpu, 64, 852.6447,
face, gpu, 128, 1699.3187,
face, gpu, 256, 3405.8247,
face, gpu, 512, 6789.7507,
face, cpu, 512, 2176657.5297,
face, cpu, 128, 544541.7497,
face, cpu, 1, 4310.5710,
face, cpu, 256, 1094158.6703,
face, cpu, 1, 4257.1667,
face, cpu, 1, 4306.5690,
imc, cpu, 1, 300.1070,
imc, cpu, 1, 297.7370,
imc, gpu, 1, 7.6090,
imc, gpu, 1, 7.5650,
imc, gpu, 16, 27.8630,
imc, gpu, 64, 95.2740,
